"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Digital, Data & Technology","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Female","Unknown","90","90","42350","38630"
"New entrant CS","2021","Digital, Data & Technology","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Digital, Data and Technology","990","990","40120","36670"
"New entrant CS","2021","Digital, Data & Technology","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Male","Unknown","100","100","47510","49700"
"New entrant CS","2021","Digital, Data & Technology","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Finance","350","340","34220","32340"
"New entrant CS","2021","Finance","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Finance","290","280","36210","32790"
"New entrant CS","2021","Finance","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Female","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Grants Management","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Human Resources","470","450","32850","28970"
"New entrant CS","2021","Human Resources","Female","Operational Delivery","60","50","29440","26410"
"New entrant CS","2021","Human Resources","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Unknown","70","70","31590","27500"
"New entrant CS","2021","Human Resources","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Human Resources","180","180","34130","28920"
"New entrant CS","2021","Human Resources","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Female","Legal","540","520","42650","43920"
"New entrant CS","2021","Legal","Female","Operational Delivery","340","330","22240","20550"
"New entrant CS","2021","Legal","Female","Other","40","40","[c]","[c]"
"New entrant CS","2021","Legal","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Male","Legal","320","320","43760","48080"
"New entrant CS","2021","Legal","Male","Operational Delivery","140","140","22810","20190"
"New entrant CS","2021","Legal","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Economics","40","40","[c]","[c]"
"New entrant CS","2021","No function","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Inspector of Education and Training","60","60","61110","67500"
"New entrant CS","2021","No function","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","International Trade","80","80","32700","31800"
"New entrant CS","2021","No function","Female","Knowledge and Information Management","40","30","[c]","[c]"
"New entrant CS","2021","No function","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Medicine","60","50","70270","82100"
"New entrant CS","2021","No function","Female","Operational Delivery","7760","7360","24960","22850"
"New entrant CS","2021","No function","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Other","200","190","29150","25610"
"New entrant CS","2021","No function","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Policy","1630","1600","36350","32940"
"New entrant CS","2021","No function","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Psychology","110","110","26590","24620"
"New entrant CS","2021","No function","Female","Science and Engineering","550","480","32310","30460"
"New entrant CS","2021","No function","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Female","Tax","870","840","21580","20140"
"New entrant CS","2021","No function","Female","Unknown","700","690","30320","28000"
"New entrant CS","2021","No function","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Economics","50","50","33100","31500"
"New entrant CS","2021","No function","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Inspector of Education and Training","30","30","[c]","[c]"
"New entrant CS","2021","No function","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","International Trade","60","60","33960","31800"
"New entrant CS","2021","No function","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Medicine","40","30","[c]","[c]"
"New entrant CS","2021","No function","Male","Operational Delivery","5610","5460","26190","22850"
"New entrant CS","2021","No function","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Other","160","160","35410","26260"
"New entrant CS","2021","No function","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Policy","1290","1280","38270","33570"
"New entrant CS","2021","No function","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Science and Engineering","290","280","31350","28590"
"New entrant CS","2021","No function","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Male","Tax","820","800","22010","20140"
"New entrant CS","2021","No function","Male","Unknown","500","500","31880","28000"
"New entrant CS","2021","No function","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Operational Delivery","80","80","34180","32870"
"New entrant CS","2021","Project Delivery","Female","Other","50","50","25860","20000"
"New entrant CS","2021","Project Delivery","Female","Policy","40","30","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Project Delivery","510","490","35490","33000"
"New entrant CS","2021","Project Delivery","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Science and Engineering","40","30","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Operational Delivery","50","50","36530","35290"
"New entrant CS","2021","Project Delivery","Male","Other","100","100","28080","25000"
"New entrant CS","2021","Project Delivery","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Project Delivery","520","520","38910","36800"
"New entrant CS","2021","Project Delivery","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Science and Engineering","240","240","30930","27540"
"New entrant CS","2021","Project Delivery","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Operational Delivery","100","100","22490","20880"
"New entrant CS","2021","Property","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Property","160","160","29810","27880"
"New entrant CS","2021","Property","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Operational Delivery","70","70","25710","20880"
"New entrant CS","2021","Property","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Property","290","290","34950","30000"
"New entrant CS","2021","Property","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Security","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Female","Security","160","160","26110","23540"
"New entrant CS","2021","Security","Female","Unknown","60","60","25740","22380"
"New entrant CS","2021","Security","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Male","Security","560","560","27270","23540"
"New entrant CS","2021","Security","Male","Unknown","70","70","27450","20920"
"New entrant CS","2021","Security","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Digital, Data and Technology","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Medicine","220","180","41120","35000"
"New entrant CS","2021","Unknown","Female","Operational Delivery","600","580","24980","24880"
"New entrant CS","2021","Unknown","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Other","620","600","25990","20920"
"New entrant CS","2021","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Policy","170","170","37270","35050"
"New entrant CS","2021","Unknown","Female","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Unknown","11280","10940","27440","27570"
"New entrant CS","2021","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Digital, Data and Technology","130","130","50190","47620"
"New entrant CS","2021","Unknown","Male","Economics","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Intelligence Analysis","50","50","28970","26670"
"New entrant CS","2021","Unknown","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Medicine","80","70","52500","38890"
"New entrant CS","2021","Unknown","Male","Operational Delivery","700","680","25380","24880"
"New entrant CS","2021","Unknown","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Other","530","520","27830","26350"
"New entrant CS","2021","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Policy","140","130","41950","37000"
"New entrant CS","2021","Unknown","Male","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Science and Engineering","100","90","27340","25000"
"New entrant CS","2021","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Unknown","7940","7890","27440","27570"
"New entrant CS","2021","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Economics","110","100","31500","30710"
"New entrant CS","2022","Analysis","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Operational Research","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Other","40","30","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Policy","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Science and Engineering","50","40","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Social Research","180","180","34570","30710"
"New entrant CS","2022","Analysis","Female","Statistics","120","120","32410","30710"
"New entrant CS","2022","Analysis","Female","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Economics","190","190","36320","31800"
"New entrant CS","2022","Analysis","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Operational Delivery","70","70","32750","30210"
"New entrant CS","2022","Analysis","Male","Operational Research","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Other","60","60","41450","34050"
"New entrant CS","2022","Analysis","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Science and Engineering","50","50","31890","29750"
"New entrant CS","2022","Analysis","Male","Social Research","60","60","34750","30710"
"New entrant CS","2022","Analysis","Male","Statistics","170","170","33500","31800"
"New entrant CS","2022","Analysis","Male","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Male","Unknown","40","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Commercial","370","330","32850","30420"
"New entrant CS","2022","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Female","Unknown","120","120","61020","64880"
"New entrant CS","2022","Commercial","Male","Commercial","280","250","33040","29920"
"New entrant CS","2022","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Male","Unknown","120","120","74560","70910"
"New entrant CS","2022","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Communications","340","320","36450","33390"
"New entrant CS","2022","Communications","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Operational Delivery","240","230","26790","26590"
"New entrant CS","2022","Communications","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Female","Tax","160","150","27480","26590"
"New entrant CS","2022","Communications","Female","Unknown","50","50","33250","30320"
"New entrant CS","2022","Communications","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Communications","190","180","35990","32670"
"New entrant CS","2022","Communications","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Male","Finance","[c]","[c]","[c]","[c]"
