"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Declared non-disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Project Delivery","SEO/HEO","610","610","35880","34710"
"New entrant CS","2021","Declared non-disabled","Project Delivery","Unknown","110","110","39010","39000"
"New entrant CS","2021","Declared non-disabled","Property","AA/AO","130","130","20990","20880"
"New entrant CS","2021","Declared non-disabled","Property","EO","100","100","25840","26350"
"New entrant CS","2021","Declared non-disabled","Property","G6/G7","50","50","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Property","SEO/HEO","180","170","34910","33300"
"New entrant CS","2021","Declared non-disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Security","AA/AO","310","310","23710","20920"
"New entrant CS","2021","Declared non-disabled","Security","EO","60","60","26990","24620"
"New entrant CS","2021","Declared non-disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Security","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Security","SEO/HEO","50","50","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","AA/AO","5120","5050","21500","21010"
"New entrant CS","2021","Declared non-disabled","Unknown","EO","8400","8220","28490","27570"
"New entrant CS","2021","Declared non-disabled","Unknown","G6/G7","310","290","59720","57000"
"New entrant CS","2021","Declared non-disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","SEO/HEO","830","820","35620","35070"
"New entrant CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Debt","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Debt","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","No function","AA/AO","190","180","21310","20170"
"New entrant CS","2021","Undeclared","No function","EO","130","120","25770","26130"
"New entrant CS","2021","Undeclared","No function","G6/G7","90","90","57770","55530"
"New entrant CS","2021","Undeclared","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","No function","SEO/HEO","320","300","34090","33090"
"New entrant CS","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Security","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Security","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","AA/AO","250","250","21490","21010"
"New entrant CS","2021","Undeclared","Unknown","EO","440","430","28560","27570"
"New entrant CS","2021","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Analysis","AA/AO","60","60","20060","19130"
"New entrant CS","2021","Unknown","Analysis","EO","70","70","25730","25560"
"New entrant CS","2021","Unknown","Analysis","G6/G7","70","70","57360","53360"
"New entrant CS","2021","Unknown","Analysis","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Analysis","SEO/HEO","300","290","33510","32540"
"New entrant CS","2021","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","EO","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","G6/G7","70","70","75010","81700"
"New entrant CS","2021","Unknown","Commercial","SCS","160","160","81720","71000"
"New entrant CS","2021","Unknown","Commercial","SEO/HEO","120","120","36090","36750"
"New entrant CS","2021","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","AA/AO","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","EO","480","470","25750","25560"
"New entrant CS","2021","Unknown","Communications","G6/G7","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","SEO/HEO","180","170","34740","31810"
"New entrant CS","2021","Unknown","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","EO","50","40","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Debt","AA/AO","660","640","20280","20140"
"New entrant CS","2021","Unknown","Debt","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Debt","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","AA/AO","60","60","21530","21040"
"New entrant CS","2021","Unknown","Digital, Data & Technology","EO","210","210","26870","26870"
"New entrant CS","2021","Unknown","Digital, Data & Technology","G6/G7","210","210","58080","55630"
"New entrant CS","2021","Unknown","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","SEO/HEO","420","420","36550","36500"
"New entrant CS","2021","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","AA/AO","50","40","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","EO","70","60","24860","25000"
"New entrant CS","2021","Unknown","Finance","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","SEO/HEO","160","160","35340","32790"
"New entrant CS","2021","Unknown","Grants Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","AA/AO","60","50","20660","20800"
"New entrant CS","2021","Unknown","Human Resources","EO","90","90","25820","26300"
"New entrant CS","2021","Unknown","Human Resources","G6/G7","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","SEO/HEO","100","100","34130","32790"
"New entrant CS","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","AA/AO","350","350","20450","20120"
"New entrant CS","2021","Unknown","Legal","EO","110","110","26500","26950"
"New entrant CS","2021","Unknown","Legal","G6/G7","270","260","52700","50520"
"New entrant CS","2021","Unknown","Legal","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","SEO/HEO","190","190","35040","38000"
"New entrant CS","2021","Unknown","No function","AA/AO","5080","4920","21520","20600"
"New entrant CS","2021","Unknown","No function","EO","1500","1480","27470","26410"
"New entrant CS","2021","Unknown","No function","G6/G7","400","390","56120","53380"
"New entrant CS","2021","Unknown","No function","SCS","60","50","101480","89950"
"New entrant CS","2021","Unknown","No function","SEO/HEO","2020","1990","33040","32560"
"New entrant CS","2021","Unknown","No function","Unknown","410","360","22480","22920"
"New entrant CS","2021","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","EO","160","160","20980","21170"
"New entrant CS","2021","Unknown","Project Delivery","G6/G7","80","80","55560","53420"
"New entrant CS","2021","Unknown","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","SEO/HEO","210","200","36790","37100"
"New entrant CS","2021","Unknown","Project Delivery","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Property","AA/AO","110","110","21180","20880"
"New entrant CS","2021","Unknown","Property","EO","60","60","25020","24500"
"New entrant CS","2021","Unknown","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","SEO/HEO","50","50","34890","33530"
"New entrant CS","2021","Unknown","Security","AA/AO","270","270","25440","23540"
"New entrant CS","2021","Unknown","Security","EO","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","AA/AO","1400","1360","21490","21010"
"New entrant CS","2021","Unknown","Unknown","EO","2260","2200","27820","27570"
"New entrant CS","2021","Unknown","Unknown","G6/G7","440","420","59360","57430"
"New entrant CS","2021","Unknown","Unknown","SCS","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","SEO/HEO","880","860","36430","35310"
"New entrant CS","2021","Unknown","Unknown","Unknown","330","330","[c]","[c]"
"New entrant CS","2022","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Analysis","SEO/HEO","80","70","33150","33040"
"New entrant CS","2022","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Counter Fraud","AA/AO","60","60","22160","21260"
"New entrant CS","2022","Declared disabled","Counter Fraud","EO","60","60","27590","27570"
"New entrant CS","2022","Declared disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Debt","AA/AO","70","70","21340","21260"
"New entrant CS","2022","Declared disabled","Debt","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","EO","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","G6/G7","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","90","90","35870","35540"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","EO","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","SEO/HEO","50","50","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Legal","AA/AO","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Legal","G6/G7","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","Legal","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","AA/AO","1080","1040","21850","21260"
"New entrant CS","2022","Declared disabled","No function","EO","730","700","27630","27570"
"New entrant CS","2022","Declared disabled","No function","G6/G7","90","90","54980","53370"
"New entrant CS","2022","Declared disabled","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","No function","SEO/HEO","450","440","34170","33080"
"New entrant CS","2022","Declared disabled","No function","Unknown","1170","1100","29440","27140"
"New entrant CS","2022","Declared disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","EO","40","40","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Project Delivery","SEO/HEO","60","50","35000","34710"
"New entrant CS","2022","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","AA/AO","200","190","21720","21260"
"New entrant CS","2022","Declared disabled","Unknown","EO","160","150","27180","27230"
"New entrant CS","2022","Declared disabled","Unknown","G6/G7","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","SEO/HEO","100","100","35100","33620"
"New entrant CS","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","AA/AO","140","140","21740","21260"
"New entrant CS","2022","Declared non-disabled","Analysis","EO","150","150","26730","26250"
"New entrant CS","2022","Declared non-disabled","Analysis","G6/G7","80","80","56350","53380"
"New entrant CS","2022","Declared non-disabled","Analysis","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Analysis","SEO/HEO","570","560","33790","33080"
"New entrant CS","2022","Declared non-disabled","Commercial","AA/AO","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","EO","110","110","26130","26350"
"New entrant CS","2022","Declared non-disabled","Commercial","G6/G7","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Commercial","SEO/HEO","210","200","35790","35000"
"New entrant CS","2022","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Communications","AA/AO","70","70","21350","21250"
"New entrant CS","2022","Declared non-disabled","Communications","EO","410","400","26620","26590"
"New entrant CS","2022","Declared non-disabled","Communications","G6/G7","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Communications","SEO/HEO","240","230","35200","33080"
"New entrant CS","2022","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Counter Fraud","AA/AO","370","350","22400","21260"
"New entrant CS","2022","Declared non-disabled","Counter Fraud","EO","550","540","27670","27570"
"New entrant CS","2022","Declared non-disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Counter Fraud","SEO/HEO","110","110","35110","33080"
"New entrant CS","2022","Declared non-disabled","Debt","AA/AO","580","560","21290","21250"
"New entrant CS","2022","Declared non-disabled","Debt","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","AA/AO","160","160","20400","20910"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","EO","330","320","26230","26350"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","G6/G7","420","420","55140","54150"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","SEO/HEO","730","730","35890","35540"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Finance","AA/AO","90","90","21260","21250"
"New entrant CS","2022","Declared non-disabled","Finance","EO","170","160","25600","26130"
"New entrant CS","2022","Declared non-disabled","Finance","G6/G7","80","80","55550","54170"
"New entrant CS","2022","Declared non-disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Finance","SEO/HEO","210","210","36780","36420"
"New entrant CS","2022","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Grants Management","AA/AO","460","440","21220","21300"
"New entrant CS","2022","Declared non-disabled","Grants Management","EO","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Human Resources","AA/AO","180","170","21380","21170"
"New entrant CS","2022","Declared non-disabled","Human Resources","EO","210","200","26120","26590"
"New entrant CS","2022","Declared non-disabled","Human Resources","G6/G7","100","100","54860","53500"
"New entrant CS","2022","Declared non-disabled","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Human Resources","SEO/HEO","260","260","34480","33080"
"New entrant CS","2022","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Legal","AA/AO","210","210","21210","21250"
"New entrant CS","2022","Declared non-disabled","Legal","EO","220","220","27090","26950"
"New entrant CS","2022","Declared non-disabled","Legal","G6/G7","280","270","53890","50500"
"New entrant CS","2022","Declared non-disabled","Legal","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Legal","SEO/HEO","180","180","40440","41750"
"New entrant CS","2022","Declared non-disabled","No function","AA/AO","9410","9160","22190","21260"
"New entrant CS","2022","Declared non-disabled","No function","EO","5080","4970","27460","27570"
"New entrant CS","2022","Declared non-disabled","No function","G6/G7","950","920","55990","53130"
"New entrant CS","2022","Declared non-disabled","No function","SCS","80","80","93610","89860"
"New entrant CS","2022","Declared non-disabled","No function","SEO/HEO","3780","3700","34530","33080"
"New entrant CS","2022","Declared non-disabled","No function","Unknown","4040","3780","28650","24800"
"New entrant CS","2022","Declared non-disabled","Project Delivery","AA/AO","90","80","21060","21260"
"New entrant CS","2022","Declared non-disabled","Project Delivery","EO","300","300","23870","24150"
"New entrant CS","2022","Declared non-disabled","Project Delivery","G6/G7","170","160","56170","54110"
"New entrant CS","2022","Declared non-disabled","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Project Delivery","SEO/HEO","560","550","35940","35000"
"New entrant CS","2022","Declared non-disabled","Project Delivery","Unknown","110","110","36940","33700"
"New entrant CS","2022","Declared non-disabled","Property","AA/AO","110","110","21490","21750"
"New entrant CS","2022","Declared non-disabled","Property","EO","120","110","25250","25000"
"New entrant CS","2022","Declared non-disabled","Property","G6/G7","80","70","56130","54700"
"New entrant CS","2022","Declared non-disabled","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Property","SEO/HEO","200","200","35760","33080"
"New entrant CS","2022","Declared non-disabled","Security","AA/AO","180","180","25310","24540"
"New entrant CS","2022","Declared non-disabled","Security","EO","80","80","27100","26350"
"New entrant CS","2022","Declared non-disabled","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Security","SCS","[c]","[c]","[c]","[c]"
