"Status","Year","Profession_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Statistics","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Transport","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","HM Revenue and Customs","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Statistics","HM Treasury","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Home Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","United Kingdom Statistics Authority","SEO/HEO","110","100","32830","32540"
"New entrant CS","2021","Statistics","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Welsh Government","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","HM Revenue and Customs","AA/AO","2200","2140","20190","20140"
"New entrant CS","2021","Tax","HM Revenue and Customs","EO","770","760","25620","25560"
"New entrant CS","2021","Tax","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","HM Revenue and Customs","SEO/HEO","270","260","32650","31810"
"New entrant CS","2021","Tax","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Cabinet Office","AA/AO","160","160","21530","20800"
"New entrant CS","2021","Unknown","Cabinet Office","EO","250","250","26840","27500"
"New entrant CS","2021","Unknown","Cabinet Office","G6/G7","250","250","62570","54850"
"New entrant CS","2021","Unknown","Cabinet Office","SCS","180","180","84030","72000"
"New entrant CS","2021","Unknown","Cabinet Office","SEO/HEO","860","860","30840","28000"
"New entrant CS","2021","Unknown","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Charity Commission","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Transport","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Work and Pensions","AA/AO","5530","5470","21610","21010"
"New entrant CS","2021","Unknown","Department for Work and Pensions","EO","10880","10630","28590","27570"
"New entrant CS","2021","Unknown","Department for Work and Pensions","G6/G7","170","170","58160","56140"
"New entrant CS","2021","Unknown","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Work and Pensions","SEO/HEO","390","390","35180","35310"
"New entrant CS","2021","Unknown","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","EO","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","SEO/HEO","50","50","37210","40450"
"New entrant CS","2021","Unknown","HM Revenue and Customs","AA/AO","340","320","20500","20140"
"New entrant CS","2021","Unknown","HM Revenue and Customs","EO","90","80","25750","25560"
"New entrant CS","2021","Unknown","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HM Revenue and Customs","SEO/HEO","60","60","[c]","[c]"
"New entrant CS","2021","Unknown","HM Revenue and Customs","Unknown","330","320","[c]","[c]"
"New entrant CS","2021","Unknown","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Home Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Home Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scottish Government","AA/AO","470","450","21070","20060"
"New entrant CS","2021","Unknown","Scottish Government","EO","280","270","26690","26160"
"New entrant CS","2021","Unknown","Scottish Government","G6/G7","220","210","55580","52480"
"New entrant CS","2021","Unknown","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Scottish Government","SEO/HEO","540","520","35180","32900"
"New entrant CS","2021","Unknown","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Cabinet Office","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Education","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Education","SEO/HEO","50","50","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Environment, Food and Rural Affairs","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Transport","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Department of Health and Social Care","SEO/HEO","120","60","36330","36820"
"New entrant CS","2022","Commercial","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","HM Treasury","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Home Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Defence","EO","110","110","24870","26350"
"New entrant CS","2022","Commercial","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Defence","SEO/HEO","70","70","35410","35000"
"New entrant CS","2022","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Charity Commission","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Education","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Environment, Food and Rural Affairs","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2022","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Transport","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department of Health and Social Care","EO","60","40","[c]","[c]"
"New entrant CS","2022","Communications","Department of Health and Social Care","G6/G7","40","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","HM Treasury","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Home Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","The National Archives","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
