"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Scottish Prison Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","No function","Unknown","230","220","21530","20810"
"New entrant CS","2021","Scottish Prison Service","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Prison Service","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Public Pensions Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Public Pensions Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scottish Public Pensions Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","No function","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Serious Fraud Office","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Security Scotland","Unknown","Declared disabled","50","50","23030","20060"
"New entrant CS","2021","Social Security Scotland","Unknown","Declared non-disabled","200","190","25380","20060"
"New entrant CS","2021","Social Security Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Security Scotland","Unknown","Unknown","130","130","27950","23340"
"New entrant CS","2021","Standards and Testing Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Standards and Testing Agency","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Standards and Testing Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Student Awards Agency for Scotland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Student Awards Agency for Scotland","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Student Awards Agency for Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Student Awards Agency for Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Project Delivery","Declared non-disabled","100","100","38700","39000"
"New entrant CS","2021","Submarine Delivery Agency","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Submarine Delivery Agency","Project Delivery","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Teaching Regulation Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Teaching Regulation Agency","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Teaching Regulation Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","The National Archives","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Transport Scotland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Transport Scotland","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Transport Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Commercial","Declared non-disabled","50","40","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Export Finance","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","No function","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Hydrographic Office","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","No function","Declared non-disabled","30","30","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","No function","Unknown","100","100","23960","23320"
"New entrant CS","2021","UK Intellectual Property Office","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Intellectual Property Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Space Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","UK Supreme Court","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Analysis","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Analysis","Declared non-disabled","140","140","33530","32540"
"New entrant CS","2021","United Kingdom Statistics Authority","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Analysis","Unknown","260","250","30560","29540"
"New entrant CS","2021","United Kingdom Statistics Authority","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Declared non-disabled","50","50","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Digital, Data & Technology","Unknown","70","70","37690","36030"
"New entrant CS","2021","United Kingdom Statistics Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","No function","Declared non-disabled","130","120","28910","29540"
"New entrant CS","2021","United Kingdom Statistics Authority","No function","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","No function","Unknown","210","190","28010","26220"
"New entrant CS","2021","United Kingdom Statistics Authority","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Project Delivery","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Security","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","United Kingdom Statistics Authority","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Property","Declared non-disabled","120","120","25560","24500"
"New entrant CS","2021","Valuation Office Agency","Property","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Valuation Office Agency","Property","Unknown","120","120","25240","24500"
"New entrant CS","2021","Vehicle Certification Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Vehicle Certification Agency","Property","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinary Medicines Directorate","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales Office","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","No function","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","No function","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Security","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Water Services Regulation Authority","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Government (excl. agencies)","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Government (excl. agencies)","Unknown","Declared non-disabled","140","140","27890","25030"
"New entrant CS","2021","Welsh Government (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Government (excl. agencies)","Unknown","Unknown","40","30","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Welsh Revenue Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wilton Park","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wilton Park","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wilton Park","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wilton Park","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wilton Park","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Accountant in Bankruptcy","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Accountant in Bankruptcy","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Accountant in Bankruptcy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
