"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Heterosexual / straight","40-49","Legal","150","140","46000","48080"
"New entrant CS","2021","Heterosexual / straight","40-49","No function","1580","1500","33340","27960"
"New entrant CS","2021","Heterosexual / straight","40-49","Project Delivery","270","270","41670","40000"
"New entrant CS","2021","Heterosexual / straight","40-49","Property","90","90","35120","33000"
"New entrant CS","2021","Heterosexual / straight","40-49","Security","90","90","28470","23540"
"New entrant CS","2021","Heterosexual / straight","40-49","Unknown","3120","3030","28690","27570"
"New entrant CS","2021","Heterosexual / straight","50-59","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","50-59","Commercial","50","50","42920","38630"
"New entrant CS","2021","Heterosexual / straight","50-59","Communications","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","50-59","Debt","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","50-59","Digital, Data & Technology","130","130","45700","47550"
"New entrant CS","2021","Heterosexual / straight","50-59","Finance","70","60","38680","34290"
"New entrant CS","2021","Heterosexual / straight","50-59","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","50-59","Human Resources","80","70","39730","31660"
"New entrant CS","2021","Heterosexual / straight","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","50-59","Legal","80","80","45890","48080"
"New entrant CS","2021","Heterosexual / straight","50-59","No function","1290","1210","31910","25850"
"New entrant CS","2021","Heterosexual / straight","50-59","Project Delivery","220","220","41930","40000"
"New entrant CS","2021","Heterosexual / straight","50-59","Property","100","90","37320","33300"
"New entrant CS","2021","Heterosexual / straight","50-59","Security","120","120","28540","22920"
"New entrant CS","2021","Heterosexual / straight","50-59","Unknown","2850","2780","27590","27570"
"New entrant CS","2021","Heterosexual / straight","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","No function","260","220","30470","22890"
"New entrant CS","2021","Heterosexual / straight","60-64","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","60-64","Unknown","520","510","26460","27570"
"New entrant CS","2021","Heterosexual / straight","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","No function","80","50","34630","29230"
"New entrant CS","2021","Heterosexual / straight","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","65+","Unknown","60","60","25320","25110"
"New entrant CS","2021","Heterosexual / straight","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Analysis","70","70","31090","30130"
"New entrant CS","2021","LGBO","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Communications","50","40","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Legal","50","50","28400","26550"
"New entrant CS","2021","LGBO","20-29","No function","750","740","26570","25000"
"New entrant CS","2021","LGBO","20-29","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","20-29","Unknown","760","750","26010","27570"
"New entrant CS","2021","LGBO","30-39","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","No function","280","280","29920","26130"
"New entrant CS","2021","LGBO","30-39","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","30-39","Unknown","390","380","28300","27570"
"New entrant CS","2021","LGBO","40-49","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","No function","120","110","32730","27660"
"New entrant CS","2021","LGBO","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","40-49","Unknown","230","230","27930","27570"
"New entrant CS","2021","LGBO","50-59","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","No function","70","70","30130","24770"
"New entrant CS","2021","LGBO","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","50-59","Unknown","140","140","27120","27570"
"New entrant CS","2021","LGBO","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","60-64","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Analysis","50","50","31470","31810"
"New entrant CS","2021","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Legal","70","70","24750","20850"
"New entrant CS","2021","Undeclared","20-29","No function","480","460","28140","27500"
"New entrant CS","2021","Undeclared","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","20-29","Unknown","350","350","26270","27570"
"New entrant CS","2021","Undeclared","30-39","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","No function","240","230","34080","31000"
"New entrant CS","2021","Undeclared","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","30-39","Unknown","240","230","29810","27570"
"New entrant CS","2021","Undeclared","40-49","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","No function","140","120","36680","32650"
"New entrant CS","2021","Undeclared","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","40-49","Unknown","150","150","30930","27570"
"New entrant CS","2021","Undeclared","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","No function","110","100","34230","30270"
"New entrant CS","2021","Undeclared","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","50-59","Unknown","150","150","28120","27570"
"New entrant CS","2021","Undeclared","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","60-64","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","65+","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Debt","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","No function","170","160","20750","20140"
"New entrant CS","2021","Unknown","16-19","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","16-19","Unknown","60","60","21770","21430"
"New entrant CS","2021","Unknown","20-29","Analysis","230","230","30650","29750"
"New entrant CS","2021","Unknown","20-29","Commercial","80","70","33490","28970"
"New entrant CS","2021","Unknown","20-29","Communications","340","340","27170","25560"
"New entrant CS","2021","Unknown","20-29","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Debt","330","320","20400","20140"
"New entrant CS","2021","Unknown","20-29","Digital, Data & Technology","270","260","31150","30640"
"New entrant CS","2021","Unknown","20-29","Finance","110","110","29830","31810"
"New entrant CS","2021","Unknown","20-29","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Human Resources","90","90","25030","24090"
"New entrant CS","2021","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","20-29","Legal","150","150","27080","24590"
"New entrant CS","2021","Unknown","20-29","No function","4170","4110","25110","22850"
"New entrant CS","2021","Unknown","20-29","Project Delivery","160","160","26630","26130"
"New entrant CS","2021","Unknown","20-29","Property","90","90","24270","24500"
"New entrant CS","2021","Unknown","20-29","Security","120","120","23990","23540"
"New entrant CS","2021","Unknown","20-29","Unknown","1860","1830","27780","27570"
"New entrant CS","2021","Unknown","30-39","Analysis","70","70","39710","37020"
"New entrant CS","2021","Unknown","30-39","Commercial","90","90","59420","62110"
"New entrant CS","2021","Unknown","30-39","Communications","170","170","31210","25560"
"New entrant CS","2021","Unknown","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","30-39","Debt","160","150","20480","20140"
"New entrant CS","2021","Unknown","30-39","Digital, Data & Technology","220","210","40510","37420"
"New entrant CS","2021","Unknown","30-39","Finance","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","30-39","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","30-39","Human Resources","50","50","32740","31990"
"New entrant CS","2021","Unknown","30-39","Legal","80","80","40670","38370"
"New entrant CS","2021","Unknown","30-39","No function","1630","1550","27540","22850"
"New entrant CS","2021","Unknown","30-39","Project Delivery","110","100","40090","38630"
"New entrant CS","2021","Unknown","30-39","Property","60","60","30560","27450"
"New entrant CS","2021","Unknown","30-39","Security","70","70","26310","24620"
"New entrant CS","2021","Unknown","30-39","Unknown","1160","1120","32190","27570"
"New entrant CS","2021","Unknown","40-49","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Commercial","110","110","69930","71130"
"New entrant CS","2021","Unknown","40-49","Communications","110","100","34560","25560"
"New entrant CS","2021","Unknown","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Debt","90","90","20640","20140"
"New entrant CS","2021","Unknown","40-49","Digital, Data & Technology","170","170","44030","40600"
"New entrant CS","2021","Unknown","40-49","Finance","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Human Resources","50","40","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Legal","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","No function","960","910","29540","22850"
"New entrant CS","2021","Unknown","40-49","Project Delivery","70","60","42820","39530"
"New entrant CS","2021","Unknown","40-49","Property","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Security","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","40-49","Unknown","840","810","33600","27570"
"New entrant CS","2021","Unknown","50-59","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","Commercial","80","80","82890","72000"
"New entrant CS","2021","Unknown","50-59","Communications","50","50","33130","25560"
"New entrant CS","2021","Unknown","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","Debt","70","70","20620","20140"
"New entrant CS","2021","Unknown","50-59","Digital, Data & Technology","80","80","48370","46680"
"New entrant CS","2021","Unknown","50-59","Finance","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","No function","800","760","27530","22350"
"New entrant CS","2021","Unknown","50-59","Project Delivery","50","50","45080","40720"
"New entrant CS","2021","Unknown","50-59","Property","50","50","29540","24500"
"New entrant CS","2021","Unknown","50-59","Security","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","50-59","Unknown","700","680","33350","27570"
"New entrant CS","2021","Unknown","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","No function","130","120","29160","20810"
"New entrant CS","2021","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","60-64","Unknown","130","130","31870","27570"
"New entrant CS","2021","Unknown","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","65+","Counter Fraud","[c]","[c]","[c]","[c]"
