"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Attorney General's Departments","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","Unknown","Legal","60","60","45240","48080"
"New entrant CS","2021","Attorney General's Departments","Unknown","Operational Delivery","80","80","20930","20120"
"New entrant CS","2021","Attorney General's Departments","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Heterosexual / straight","Unknown","530","520","38910","34550"
"New entrant CS","2021","Cabinet Office","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","LGBO","Unknown","80","80","34730","32000"
"New entrant CS","2021","Cabinet Office","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Undeclared","Unknown","60","60","35980","32000"
"New entrant CS","2021","Cabinet Office","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Cabinet Office","Unknown","Unknown","1040","1030","40830","28000"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Operational Delivery","180","170","27860","24250"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Policy","340","340","38640","33570"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Policy","50","50","34620","33570"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Policy","50","50","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Digital, Data and Technology","70","70","34250","32060"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Operational Delivery","340","330","24730","23320"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Policy","100","100","38140","33570"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Science and Engineering","50","50","28480","27520"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Policy","170","170","36830","34020"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Policy","40","30","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Unknown","Policy","30","30","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Digital, Data and Technology","50","50","38970","36500"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Operational Delivery","90","80","32200","29360"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Policy","140","130","37260","32940"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Property","30","30","[c]","[c]"
"New entrant CS","2021","Department for Education","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Communications","40","40","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Digital, Data and Technology","50","50","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Policy","110","110","36190","32940"
"New entrant CS","2021","Department for Education","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Digital, Data and Technology","100","100","40210","36760"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Finance","40","40","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Operational Delivery","300","290","24560","24370"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Policy","360","350","36360","32560"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Property","40","30","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Science and Engineering","50","40","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","LGBO","Human Resources","[c]","[c]","[c]","[c]"
