"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","No function","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","Department for Transport","60","60","35000","29970"
"New entrant CS","2021","No function","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","Office of Gas and Electricity Markets","200","200","29520","25000"
"New entrant CS","2021","No function","Other","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Planning","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Planning Inspectors","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Department for Business, Energy and Industrial Strategy","510","510","38170","33570"
"New entrant CS","2021","No function","Policy","Department for Digital, Culture, Media and Sport","250","250","37600","34020"
"New entrant CS","2021","No function","Policy","Department for Education","200","200","35600","32940"
"New entrant CS","2021","No function","Policy","Department for Environment, Food and Rural Affairs","590","580","36460","32560"
"New entrant CS","2021","No function","Policy","Department for International Trade","40","30","[c]","[c]"
"New entrant CS","2021","No function","Policy","Department for Transport","180","180","35550","34710"
"New entrant CS","2021","No function","Policy","Department of Health and Social Care","600","590","39320","32790"
"New entrant CS","2021","No function","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","HM Treasury","270","270","33470","29750"
"New entrant CS","2021","No function","Policy","Ministry of Housing, Communities and Local Government","150","150","40380","33210"
"New entrant CS","2021","No function","Policy","Ministry of Justice","40","40","[c]","[c]"
"New entrant CS","2021","No function","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Psychology","Ministry of Justice","120","110","26540","24620"
"New entrant CS","2021","No function","Psychology","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Science and Engineering","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"New entrant CS","2021","No function","Science and Engineering","Department for Environment, Food and Rural Affairs","70","70","28530","24370"
"New entrant CS","2021","No function","Science and Engineering","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Science and Engineering","Department for Work and Pensions","60","60","26710","26370"
"New entrant CS","2021","No function","Science and Engineering","Department of Health and Social Care","530","460","33590","31370"
"New entrant CS","2021","No function","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Science and Engineering","Ministry of Defence","120","120","29790","28650"
"New entrant CS","2021","No function","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Security","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Social Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Social Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Statistics","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Tax","HM Revenue and Customs","1690","1640","21780","20140"
"New entrant CS","2021","No function","Tax","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Unknown","Cabinet Office","900","890","32120","28000"
"New entrant CS","2021","No function","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Unknown","HM Revenue and Customs","230","230","24300","20140"
"New entrant CS","2021","No function","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Veterinarian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Commercial","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Digital, Data and Technology","Ministry of Defence","50","50","[c]","[c]"
"New entrant CS","2021","Project Delivery","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Operational Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Operational Delivery","Ministry of Justice","110","110","35850","33930"
"New entrant CS","2021","Project Delivery","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other","Ministry of Defence","140","140","27290","23230"
"New entrant CS","2021","Project Delivery","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Policy","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Policy","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Department for Digital, Culture, Media and Sport","70","70","41440","34020"
"New entrant CS","2021","Project Delivery","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Department for Transport","70","70","37540","34710"
"New entrant CS","2021","Project Delivery","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","HM Revenue and Customs","70","70","38490","35630"
"New entrant CS","2021","Project Delivery","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Ministry of Defence","500","500","35390","33000"
"New entrant CS","2021","Project Delivery","Project Delivery","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Project Delivery","United Kingdom Statistics Authority","60","60","36540","36030"
"New entrant CS","2021","Project Delivery","Property","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Science and Engineering","Ministry of Defence","280","270","30680","27540"
"New entrant CS","2021","Project Delivery","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Tax","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Unknown","Cabinet Office","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Operational Delivery","HM Revenue and Customs","130","130","21090","20880"
"New entrant CS","2021","Property","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Operational Delivery","Ministry of Justice","30","30","[c]","[c]"
"New entrant CS","2021","Property","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Other","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Planning","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"New entrant CS","2021","Property","Property","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","HM Revenue and Customs","140","140","30920","30000"
"New entrant CS","2021","Property","Property","Ministry of Defence","200","200","30670","33000"
"New entrant CS","2021","Property","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Unknown","Scottish Government","60","50","27280","25140"
"New entrant CS","2021","Security","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Ministry of Defence","590","590","26100","23540"
"New entrant CS","2021","Security","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Ministry of Justice","80","80","29300","27700"
"New entrant CS","2021","Security","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Unknown","Cabinet Office","130","120","26630","20920"
"New entrant CS","2021","Unknown","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data and Technology","Home Office","170","170","50770","48210"
"New entrant CS","2021","Unknown","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Economics","Home Office","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","Home Office","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Intelligence Analysis","Home Office","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Intelligence Analysis","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Medicine","Ministry of Defence","290","240","43940","36370"
"New entrant CS","2021","Unknown","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","Home Office","1140","1120","24960","24880"
"New entrant CS","2021","Unknown","Operational Delivery","Ministry of Defence","60","50","26630","22010"
"New entrant CS","2021","Unknown","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Delivery","Welsh Government","70","60","23130","20500"
"New entrant CS","2021","Unknown","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other","Home Office","340","330","33470","28650"
"New entrant CS","2021","Unknown","Other","Ministry of Defence","780","760","23830","20920"
"New entrant CS","2021","Unknown","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Other","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Planning","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Planning","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Policy","Department for Education","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Policy","Home Office","190","180","41850","37050"
"New entrant CS","2021","Unknown","Policy","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Policy","Welsh Government","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","Home Office","80","80","41110","35050"
"New entrant CS","2021","Unknown","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Science and Engineering","Ministry of Defence","110","110","27240","25190"
"New entrant CS","2021","Unknown","Science and Engineering","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Social Research","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Social Research","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Statistics","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Charity Commission","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Work and Pensions","16980","16660","26790","27570"
"New entrant CS","2021","Unknown","Unknown","Department of Health and Social Care","130","130","40870","37640"
"New entrant CS","2021","Unknown","Unknown","HM Revenue and Customs","510","490","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Ministry of Defence","80","80","31490","31700"
"New entrant CS","2021","Unknown","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Scottish Government","1410","1360","33170","30650"
"New entrant CS","2021","Unknown","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Veterinarian","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department for International Trade","30","30","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department for Transport","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Economics","UK Statistics Authority","70","70","27690","21360"
"New entrant CS","2022","Analysis","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Geography","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Internal Audit","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
