"Status","Year","Organisation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","HM Courts and Tribunals Service","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Legal","Legal","140","140","27710","26550"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","Operational Delivery","1920","1870","20660","19930"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Property","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Digital, Data & Technology","Digital, Data and Technology","100","100","31780","27130"
"New entrant CS","2021","HM Land Registry","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Legal","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","No function","Operational Delivery","520","510","22820","22350"
"New entrant CS","2021","HM Land Registry","No function","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Project Delivery","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Property","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Analysis","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","No function","Operational Delivery","5480","5290","23730","22850"
"New entrant CS","2021","HM Prison and Probation Service","No function","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","No function","Psychology","120","110","26540","24620"
"New entrant CS","2021","HM Prison and Probation Service","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Security","Security","80","80","29300","27700"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","Statistics","50","50","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Commercial","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Communications","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Communications","Tax","670","670","26370","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Communications","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","Legal","60","60","26270","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","Tax","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Debt","Operational Delivery","130","130","20670","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Debt","Tax","820","800","20450","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Debt","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","230","220","37010","31810"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Finance","Finance","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Finance","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Human Resources","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Human Resources","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Legal","Legal","30","30","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Legal","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","No function","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","No function","Operational Delivery","220","220","21250","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","No function","Tax","1690","1640","21780","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","No function","Unknown","230","230","24300","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Project Delivery","Project Delivery","70","70","38540","36160"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Property","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Security","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","510","490","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Analysis","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Analysis","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","No function","Economics","30","30","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","No function","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","No function","Policy","260","260","33060","28500"
"New entrant CS","2021","HM Treasury (excl. agencies)","No function","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","No function","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Digital, Data and Technology","170","170","50770","48210"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Economics","30","30","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Operational Delivery","1140","1120","24960","24880"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Other","340","330","33470","28650"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Policy","190","180","41850","37050"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Project Delivery","80","80","41110","35050"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Analysis","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Legal","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","No function","Operational Delivery","170","170","22230","20880"
"New entrant CS","2021","Insolvency Service","No function","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","Legal","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","No function","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","No function","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","No function","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","No function","Operational Delivery","60","50","19750","18880"
"New entrant CS","2021","Maritime and Coastguard Agency","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","Digital, Data & Technology","Digital, Data and Technology","50","50","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","No function","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","No function","Operational Delivery","110","100","29850","26590"
"New entrant CS","2021","Maritime and Coastguard Agency","No function","Policy","40","40","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","Property","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","No function","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Property","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Unknown","110","110","38520","32960"
"New entrant CS","2021","Met Office","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","Digital, Data & Technology","Digital, Data and Technology","40","30","[c]","[c]"
"New entrant CS","2021","Met Office","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Analysis","Statistics","30","30","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Commercial","Commercial","100","90","28330","26670"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Commercial","Knowledge and Information Management","40","40","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","60","60","28950","26670"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Finance","Finance","100","100","30830","27470"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Human Resources","Human Resources","110","100","26790","20920"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Legal","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Project Delivery","Project Delivery","360","360","34890","33000"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Property","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Property","Property","200","190","30230","33000"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Security","Security","570","570","25650","23540"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Medicine","290","240","43940","36370"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Operational Delivery","60","50","26630","22010"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Other","770","750","23830","20920"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Policy","40","40","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Science and Engineering","100","100","27020","25190"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","Unknown","Unknown","80","80","31490","31700"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","Communications","30","30","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","No function","Policy","150","150","40380","33210"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Project Delivery","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Security","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Commercial","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Communications","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Digital, Data & Technology","Digital, Data and Technology","180","180","51720","52970"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Human Resources","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Legal","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","No function","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","No function","Operational Delivery","190","180","31890","30850"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","No function","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","No function","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","Operational Delivery","70","70","35750","35290"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Justice (excl. agencies)","Property","Operational Delivery","[c]","[c]","[c]","[c]"
