"Status","Year","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Yorkshire and The Humber","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Digital, Data & Technology","80","60","41970","39220"
"Leaver Dept.","2022","Yorkshire and The Humber","Finance","110","50","43470","39770"
"Leaver Dept.","2022","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Human Resources","60","50","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","No function","890","740","36540","29490"
"Leaver Dept.","2022","Yorkshire and The Humber","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Security","30","30","[c]","[c]"
"Leaver Dept.","2022","Yorkshire and The Humber","Unknown","280","250","31330","26160"
"New entrant CS","2021","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Communications","140","130","26600","25560"
"New entrant CS","2021","East Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Debt","40","30","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Digital, Data & Technology","70","70","39220","36500"
"New entrant CS","2021","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Legal","70","70","31660","25480"
"New entrant CS","2021","East Midlands (England)","No function","1020","990","24210","22850"
"New entrant CS","2021","East Midlands (England)","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Property","50","50","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Security","30","30","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Unknown","960","930","26410","27570"
"New entrant CS","2021","East of England","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Digital, Data & Technology","60","60","32520","29180"
"New entrant CS","2021","East of England","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Legal","80","70","30480","26550"
"New entrant CS","2021","East of England","No function","1130","1080","25620","22920"
"New entrant CS","2021","East of England","Project Delivery","50","50","33270","33300"
"New entrant CS","2021","East of England","Property","40","40","[c]","[c]"
"New entrant CS","2021","East of England","Security","60","60","25940","23540"
"New entrant CS","2021","East of England","Unknown","1510","1470","27210","27570"
"New entrant CS","2021","London","Analysis","720","720","36490","32790"
"New entrant CS","2021","London","Commercial","310","310","60870","58770"
"New entrant CS","2021","London","Communications","380","380","37280","34550"
"New entrant CS","2021","London","Counter Fraud","70","70","33980","29570"
"New entrant CS","2021","London","Debt","50","40","[c]","[c]"
"New entrant CS","2021","London","Digital, Data & Technology","610","610","46020","42000"
"New entrant CS","2021","London","Finance","280","270","40060","33950"
"New entrant CS","2021","London","Human Resources","300","290","36360","31800"
"New entrant CS","2021","London","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Legal","590","570","39590","37230"
"New entrant CS","2021","London","No function","6670","6500","34350","31510"
"New entrant CS","2021","London","Project Delivery","380","380","42710","36800"
"New entrant CS","2021","London","Property","80","80","39670","34550"
"New entrant CS","2021","London","Security","120","120","32940","29370"
"New entrant CS","2021","London","Unknown","4540","4470","32660","31060"
"New entrant CS","2021","North East (England)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Communications","330","330","26410","25560"
"New entrant CS","2021","North East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Debt","320","310","20380","20140"
"New entrant CS","2021","North East (England)","Digital, Data & Technology","50","50","[c]","[c]"
"New entrant CS","2021","North East (England)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Legal","40","40","[c]","[c]"
"New entrant CS","2021","North East (England)","No function","760","740","23810","22350"
"New entrant CS","2021","North East (England)","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","North East (England)","Property","110","100","24850","20880"
"New entrant CS","2021","North East (England)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Unknown","1510","1490","24180","21010"
"New entrant CS","2021","North West (England)","Analysis","60","60","32340","31810"
"New entrant CS","2021","North West (England)","Commercial","60","60","43170","36000"
"New entrant CS","2021","North West (England)","Communications","190","190","26880","25560"
"New entrant CS","2021","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Debt","40","40","[c]","[c]"
"New entrant CS","2021","North West (England)","Digital, Data & Technology","130","130","38060","36500"
"New entrant CS","2021","North West (England)","Finance","40","40","[c]","[c]"
"New entrant CS","2021","North West (England)","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Human Resources","130","130","29590","26000"
"New entrant CS","2021","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Legal","110","100","36620","38000"
"New entrant CS","2021","North West (England)","No function","2080","2000","24790","22350"
"New entrant CS","2021","North West (England)","Project Delivery","120","120","36150","33000"
"New entrant CS","2021","North West (England)","Property","40","40","[c]","[c]"
"New entrant CS","2021","North West (England)","Security","50","50","27410","23540"
"New entrant CS","2021","North West (England)","Unknown","2930","2900","25960","24880"
"New entrant CS","2021","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","No function","240","230","23100","20140"
"New entrant CS","2021","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Unknown","70","60","24420","24880"
"New entrant CS","2021","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Debt","380","370","20310","20140"
"New entrant CS","2021","Scotland","Digital, Data & Technology","50","50","38070","36670"
"New entrant CS","2021","Scotland","Finance","50","40","27040","20140"
"New entrant CS","2021","Scotland","Human Resources","70","60","26920","20920"
"New entrant CS","2021","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Legal","120","120","26680","20850"
"New entrant CS","2021","Scotland","No function","880","870","23690","20810"
"New entrant CS","2021","Scotland","Project Delivery","90","90","31800","28120"
"New entrant CS","2021","Scotland","Property","110","110","28520","27060"
"New entrant CS","2021","Scotland","Security","90","90","23280","19560"
"New entrant CS","2021","Scotland","Unknown","2590","2520","29520","27570"
"New entrant CS","2021","South East (England)","Analysis","100","100","29440","29540"
"New entrant CS","2021","South East (England)","Commercial","70","60","35970","26670"
"New entrant CS","2021","South East (England)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Digital, Data & Technology","140","140","39310","35900"
"New entrant CS","2021","South East (England)","Finance","70","60","33140","30460"
"New entrant CS","2021","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Legal","130","130","33160","26970"
"New entrant CS","2021","South East (England)","No function","1940","1850","25910","24240"
"New entrant CS","2021","South East (England)","Project Delivery","170","170","34530","33000"
"New entrant CS","2021","South East (England)","Property","70","60","37530","33000"
"New entrant CS","2021","South East (England)","Security","200","200","27880","25540"
"New entrant CS","2021","South East (England)","Unknown","2660","2590","27250","27570"
"New entrant CS","2021","South West (England)","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","South West (England)","Commercial","100","100","37270","33000"
"New entrant CS","2021","South West (England)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Digital, Data & Technology","290","290","33880","31740"
"New entrant CS","2021","South West (England)","Finance","130","120","31490","25150"
"New entrant CS","2021","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Human Resources","130","120","30400","25000"
"New entrant CS","2021","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Legal","60","60","36580","38000"
"New entrant CS","2021","South West (England)","No function","1690","1610","27080","22920"
"New entrant CS","2021","South West (England)","Project Delivery","770","750","33510","30360"
"New entrant CS","2021","South West (England)","Property","130","130","27660","24500"
"New entrant CS","2021","South West (England)","Security","100","100","24820","19560"
"New entrant CS","2021","South West (England)","Unknown","1480","1410","26380","27570"
"New entrant CS","2021","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","No function","140","130","31530","28000"
"New entrant CS","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","660","650","29920","27570"
"New entrant CS","2021","Wales","Analysis","200","190","28990","29540"
"New entrant CS","2021","Wales","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Communications","40","40","[c]","[c]"
"New entrant CS","2021","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Digital, Data & Technology","210","210","35000","30730"
"New entrant CS","2021","Wales","Finance","30","30","[c]","[c]"
"New entrant CS","2021","Wales","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Legal","30","30","[c]","[c]"
"New entrant CS","2021","Wales","No function","1380","1320","22890","21140"
"New entrant CS","2021","Wales","Project Delivery","40","30","[c]","[c]"
"New entrant CS","2021","Wales","Property","40","40","[c]","[c]"
"New entrant CS","2021","Wales","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Unknown","890","860","25650","25030"
"New entrant CS","2021","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Commercial","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Communications","30","30","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Debt","100","90","20140","20140"
"New entrant CS","2021","West Midlands (England)","Digital, Data & Technology","130","130","39250","36500"
"New entrant CS","2021","West Midlands (England)","Finance","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Legal","90","90","34610","26550"
"New entrant CS","2021","West Midlands (England)","No function","1660","1580","25610","22850"
"New entrant CS","2021","West Midlands (England)","Project Delivery","90","90","36080","35590"
"New entrant CS","2021","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Security","30","30","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Unknown","1170","1130","26630","27570"
"New entrant CS","2021","Yorkshire and The Humber","Analysis","50","50","30300","28970"
"New entrant CS","2021","Yorkshire and The Humber","Commercial","80","70","39430","35900"
"New entrant CS","2021","Yorkshire and The Humber","Communications","100","100","29400","25560"
"New entrant CS","2021","Yorkshire and The Humber","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Debt","60","50","20140","20140"
"New entrant CS","2021","Yorkshire and The Humber","Digital, Data & Technology","110","110","40550","37630"
"New entrant CS","2021","Yorkshire and The Humber","Finance","90","80","32260","28970"
"New entrant CS","2021","Yorkshire and The Humber","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Legal","90","90","31090","24000"
"New entrant CS","2021","Yorkshire and The Humber","No function","1580","1520","26890","22850"
"New entrant CS","2021","Yorkshire and The Humber","Project Delivery","90","90","33410","30790"
"New entrant CS","2021","Yorkshire and The Humber","Property","60","50","32470","30000"
"New entrant CS","2021","Yorkshire and The Humber","Security","70","70","25960","20920"
"New entrant CS","2021","Yorkshire and The Humber","Unknown","2090","2050","26500","27570"
"New entrant CS","2022","East Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Communications","220","220","26570","26590"
"New entrant CS","2022","East Midlands (England)","Counter Fraud","70","70","29170","26590"
"New entrant CS","2022","East Midlands (England)","Debt","110","100","21250","21260"
"New entrant CS","2022","East Midlands (England)","Digital, Data & Technology","80","80","33520","30730"
"New entrant CS","2022","East Midlands (England)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Grants Management","40","40","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Human Resources","50","40","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Legal","70","70","31120","25480"
"New entrant CS","2022","East Midlands (England)","No function","2580","2470","25850","23170"
"New entrant CS","2022","East Midlands (England)","Project Delivery","50","50","34080","33000"
"New entrant CS","2022","East Midlands (England)","Property","60","60","29940","26030"
"New entrant CS","2022","East Midlands (England)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East Midlands (England)","Unknown","220","210","25900","21680"
"New entrant CS","2022","East of England","Analysis","40","40","[c]","[c]"
"New entrant CS","2022","East of England","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East of England","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East of England","Counter Fraud","50","50","25250","26590"
"New entrant CS","2022","East of England","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East of England","Digital, Data & Technology","50","50","30960","30200"
"New entrant CS","2022","East of England","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East of England","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","East of England","Human Resources","40","40","[c]","[c]"
"New entrant CS","2022","East of England","Legal","60","50","32730","25040"
"New entrant CS","2022","East of England","No function","2510","2390","27030","25010"
"New entrant CS","2022","East of England","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","East of England","Property","60","60","31290","31000"
"New entrant CS","2022","East of England","Security","70","70","29310","25000"
"New entrant CS","2022","East of England","Unknown","280","260","28650","24880"
"New entrant CS","2022","London","Analysis","600","580","37430","33660"
"New entrant CS","2022","London","Commercial","280","260","48060","40650"
"New entrant CS","2022","London","Communications","440","400","37270","34550"
"New entrant CS","2022","London","Counter Fraud","320","310","30800","30750"
"New entrant CS","2022","London","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","London","Digital, Data & Technology","720","690","43230","40600"
"New entrant CS","2022","London","Finance","270","240","41300","37930"
"New entrant CS","2022","London","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","London","Human Resources","390","360","35470","32260"
"New entrant CS","2022","London","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","London","Legal","610","590","40110","37610"
"New entrant CS","2022","London","No function","8290","8030","34860","31060"
"New entrant CS","2022","London","Project Delivery","280","270","45870","41750"
"New entrant CS","2022","London","Property","170","160","38330","34140"
"New entrant CS","2022","London","Security","170","170","33720","29370"
"New entrant CS","2022","London","Unknown","1220","1180","34840","31060"
"New entrant CS","2022","North East (England)","Analysis","40","40","[c]","[c]"
"New entrant CS","2022","North East (England)","Commercial","40","30","[c]","[c]"
"New entrant CS","2022","North East (England)","Communications","130","130","27990","26590"
"New entrant CS","2022","North East (England)","Counter Fraud","130","130","27800","27570"
"New entrant CS","2022","North East (England)","Debt","170","170","21870","21260"
"New entrant CS","2022","North East (England)","Digital, Data & Technology","200","200","36930","33080"
"New entrant CS","2022","North East (England)","Finance","70","60","33210","31990"
"New entrant CS","2022","North East (England)","Grants Management","140","130","21590","21300"
"New entrant CS","2022","North East (England)","Human Resources","120","110","25210","21250"
"New entrant CS","2022","North East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","North East (England)","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","North East (England)","No function","2570","2490","25530","23140"
"New entrant CS","2022","North East (England)","Project Delivery","50","50","34550","30730"
"New entrant CS","2022","North East (England)","Property","200","190","24550","22010"
"New entrant CS","2022","North East (England)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","North East (England)","Unknown","340","330","26670","24880"
"New entrant CS","2022","North West (England)","Analysis","100","90","31560","33080"
"New entrant CS","2022","North West (England)","Commercial","100","100","42490","36500"
"New entrant CS","2022","North West (England)","Communications","180","170","28650","26590"
"New entrant CS","2022","North West (England)","Counter Fraud","220","220","27020","26590"
"New entrant CS","2022","North West (England)","Debt","140","140","21490","21250"
"New entrant CS","2022","North West (England)","Digital, Data & Technology","430","430","37410","33370"
"New entrant CS","2022","North West (England)","Finance","130","130","32800","29360"
"New entrant CS","2022","North West (England)","Grants Management","160","150","21560","21300"
"New entrant CS","2022","North West (England)","Human Resources","210","200","28530","26370"
"New entrant CS","2022","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","North West (England)","Legal","100","100","33710","26590"
"New entrant CS","2022","North West (England)","No function","5910","5690","25850","23170"
"New entrant CS","2022","North West (England)","Project Delivery","140","140","30760","26590"
"New entrant CS","2022","North West (England)","Property","100","100","33630","26470"
"New entrant CS","2022","North West (England)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","North West (England)","Unknown","890","860","27640","24880"
"New entrant CS","2022","Northern Ireland","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Counter Fraud","50","50","27070","26590"
"New entrant CS","2022","Northern Ireland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","No function","380","380","26880","26590"
"New entrant CS","2022","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Northern Ireland","Unknown","70","70","27520","24880"
"New entrant CS","2022","Overseas","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Overseas","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Scotland","Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Scotland","Commercial","40","40","[c]","[c]"
"New entrant CS","2022","Scotland","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Scotland","Counter Fraud","230","220","24570","21260"
"New entrant CS","2022","Scotland","Debt","150","140","21410","21250"
"New entrant CS","2022","Scotland","Digital, Data & Technology","100","100","38740","35540"
"New entrant CS","2022","Scotland","Finance","80","70","27570","21250"
"New entrant CS","2022","Scotland","Human Resources","90","90","30200","26590"
"New entrant CS","2022","Scotland","Legal","100","100","38350","41750"
"New entrant CS","2022","Scotland","No function","2660","2610","25160","21640"
"New entrant CS","2022","Scotland","Project Delivery","90","90","35980","33000"
"New entrant CS","2022","Scotland","Property","50","50","[c]","[c]"
"New entrant CS","2022","Scotland","Security","160","150","27530","23540"
"New entrant CS","2022","Scotland","Unknown","3790","3680","31090","27230"
"New entrant CS","2022","South East (England)","Analysis","150","150","31310","30710"
"New entrant CS","2022","South East (England)","Commercial","70","70","38540","30210"
"New entrant CS","2022","South East (England)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","South East (England)","Counter Fraud","140","140","24990","24250"
"New entrant CS","2022","South East (England)","Digital, Data & Technology","140","140","36360","33000"
"New entrant CS","2022","South East (England)","Finance","70","60","34380","33000"
"New entrant CS","2022","South East (England)","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","South East (England)","Human Resources","50","50","32710","28000"
"New entrant CS","2022","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","South East (England)","Legal","80","70","30070","24590"
"New entrant CS","2022","South East (England)","No function","3700","3480","27430","26140"
"New entrant CS","2022","South East (England)","Project Delivery","160","150","33590","33000"
"New entrant CS","2022","South East (England)","Property","90","90","37130","33000"
"New entrant CS","2022","South East (England)","Security","130","130","25980","25540"
"New entrant CS","2022","South East (England)","Unknown","700","650","28720","24940"
"New entrant CS","2022","South West (England)","Analysis","80","80","30810","29230"
"New entrant CS","2022","South West (England)","Commercial","150","140","35730","29960"
"New entrant CS","2022","South West (England)","Communications","30","30","[c]","[c]"
"New entrant CS","2022","South West (England)","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","South West (England)","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","South West (England)","Digital, Data & Technology","460","450","31700","29180"
"New entrant CS","2022","South West (England)","Finance","110","110","29670","25000"
"New entrant CS","2022","South West (England)","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","South West (England)","Human Resources","150","140","32570","28000"
"New entrant CS","2022","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","South West (England)","Legal","40","40","[c]","[c]"
"New entrant CS","2022","South West (England)","No function","3020","2890","27650","24800"
"New entrant CS","2022","South West (England)","Project Delivery","980","960","32360","29230"
"New entrant CS","2022","South West (England)","Property","170","170","28430","23060"
"New entrant CS","2022","South West (England)","Security","110","110","27360","25000"
"New entrant CS","2022","South West (England)","Unknown","310","290","28960","25000"
"New entrant CS","2022","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Commercial","40","30","[c]","[c]"
"New entrant CS","2022","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Digital, Data & Technology","30","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","No function","500","450","28650","28000"
"New entrant CS","2022","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","210","200","24100","16190"
"New entrant CS","2022","Wales","Analysis","290","280","31140","30710"
"New entrant CS","2022","Wales","Commercial","40","40","[c]","[c]"
"New entrant CS","2022","Wales","Communications","80","80","28530","26590"
"New entrant CS","2022","Wales","Counter Fraud","110","110","24800","24500"
"New entrant CS","2022","Wales","Debt","100","100","21250","21250"
"New entrant CS","2022","Wales","Digital, Data & Technology","220","220","35640","33640"
"New entrant CS","2022","Wales","Finance","50","50","30530","28510"
"New entrant CS","2022","Wales","Human Resources","70","70","32320","30210"
"New entrant CS","2022","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Wales","Legal","40","40","[c]","[c]"
"New entrant CS","2022","Wales","No function","2530","2440","24430","21840"
"New entrant CS","2022","Wales","Project Delivery","70","70","43270","39910"
"New entrant CS","2022","Wales","Property","30","30","[c]","[c]"
"New entrant CS","2022","Wales","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Wales","Unknown","570","550","31490","26820"
"New entrant CS","2022","West Midlands (England)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","West Midlands (England)","Commercial","60","60","48330","37630"
"New entrant CS","2022","West Midlands (England)","Communications","250","250","27060","26590"
"New entrant CS","2022","West Midlands (England)","Counter Fraud","100","100","27280","26590"
"New entrant CS","2022","West Midlands (England)","Debt","200","190","21560","21250"
"New entrant CS","2022","West Midlands (England)","Digital, Data & Technology","200","200","36740","35900"
"New entrant CS","2022","West Midlands (England)","Finance","110","110","34810","33040"
"New entrant CS","2022","West Midlands (England)","Grants Management","50","50","[c]","[c]"
"New entrant CS","2022","West Midlands (England)","Human Resources","60","60","35460","29440"
