"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Declared disabled","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Operational Delivery","330","330","24030","22850"
"New entrant CS","2021","Declared disabled","20-29","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Other","40","40","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Policy","130","130","31340","31800"
"New entrant CS","2021","Declared disabled","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Science and Engineering","60","60","25570","25950"
"New entrant CS","2021","Declared disabled","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Tax","40","40","[c]","[c]"
"New entrant CS","2021","Declared disabled","20-29","Unknown","740","730","26350","27570"
"New entrant CS","2021","Declared disabled","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Operational Delivery","200","190","25230","22920"
"New entrant CS","2021","Declared disabled","30-39","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Policy","50","50","38060","35470"
"New entrant CS","2021","Declared disabled","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","30-39","Unknown","510","500","27750","27570"
"New entrant CS","2021","Declared disabled","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Operational Delivery","120","110","26740","22920"
"New entrant CS","2021","Declared disabled","40-49","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","40-49","Unknown","470","450","27760","27570"
"New entrant CS","2021","Declared disabled","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Operational Delivery","110","110","25360","22680"
"New entrant CS","2021","Declared disabled","50-59","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","50-59","Unknown","400","380","27690","27570"
"New entrant CS","2021","Declared disabled","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","60-64","Unknown","90","90","25930","27570"
"New entrant CS","2021","Declared disabled","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","65+","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Operational Delivery","120","110","21270","20600"
"New entrant CS","2021","Declared non-disabled","16-19","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Tax","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","16-19","Unknown","190","190","22440","21010"
"New entrant CS","2021","Declared non-disabled","20-29","Commercial","70","70","27540","26670"
"New entrant CS","2021","Declared non-disabled","20-29","Communications","80","80","30990","30190"
"New entrant CS","2021","Declared non-disabled","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Digital, Data and Technology","200","200","30740","28350"
"New entrant CS","2021","Declared non-disabled","20-29","Economics","220","220","31550","31800"
"New entrant CS","2021","Declared non-disabled","20-29","Finance","120","110","30200","26550"
"New entrant CS","2021","Declared non-disabled","20-29","Human Resources","120","120","26760","26180"
"New entrant CS","2021","Declared non-disabled","20-29","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","International Trade","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Knowledge and Information Management","50","50","27030","26350"
"New entrant CS","2021","Declared non-disabled","20-29","Legal","160","160","34820","33550"
"New entrant CS","2021","Declared non-disabled","20-29","Medicine","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Operational Delivery","3070","3000","23930","22850"
"New entrant CS","2021","Declared non-disabled","20-29","Operational Research","50","50","29960","31000"
"New entrant CS","2021","Declared non-disabled","20-29","Other","390","390","24850","23450"
"New entrant CS","2021","Declared non-disabled","20-29","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Policy","860","860","33080","32790"
"New entrant CS","2021","Declared non-disabled","20-29","Project Delivery","210","200","31780","32060"
"New entrant CS","2021","Declared non-disabled","20-29","Property","90","90","28270","27880"
"New entrant CS","2021","Declared non-disabled","20-29","Psychology","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","20-29","Science and Engineering","410","400","26720","26370"
"New entrant CS","2021","Declared non-disabled","20-29","Security","110","110","23310","23540"
"New entrant CS","2021","Declared non-disabled","20-29","Social Research","70","70","32160","32540"
"New entrant CS","2021","Declared non-disabled","20-29","Statistics","120","120","30170","30130"
"New entrant CS","2021","Declared non-disabled","20-29","Tax","460","460","22830","20140"
"New entrant CS","2021","Declared non-disabled","20-29","Unknown","5120","5080","26480","27570"
"New entrant CS","2021","Declared non-disabled","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Commercial","50","50","39560","37420"
"New entrant CS","2021","Declared non-disabled","30-39","Communications","60","50","39740","37240"
"New entrant CS","2021","Declared non-disabled","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Digital, Data and Technology","240","240","42770","39820"
"New entrant CS","2021","Declared non-disabled","30-39","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Finance","100","100","39490","35480"
"New entrant CS","2021","Declared non-disabled","30-39","Human Resources","90","90","34570","31810"
"New entrant CS","2021","Declared non-disabled","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Legal","110","110","45050","50500"
"New entrant CS","2021","Declared non-disabled","30-39","Medicine","60","50","46640","35680"
"New entrant CS","2021","Declared non-disabled","30-39","Operational Delivery","1740","1670","27070","24020"
"New entrant CS","2021","Declared non-disabled","30-39","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Other","220","210","29830","25690"
"New entrant CS","2021","Declared non-disabled","30-39","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Policy","330","320","39940","35900"
"New entrant CS","2021","Declared non-disabled","30-39","Project Delivery","220","210","38180","35900"
"New entrant CS","2021","Declared non-disabled","30-39","Property","60","50","32750","30000"
"New entrant CS","2021","Declared non-disabled","30-39","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Science and Engineering","210","190","34560","33000"
"New entrant CS","2021","Declared non-disabled","30-39","Security","100","90","27250","24620"
"New entrant CS","2021","Declared non-disabled","30-39","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Statistics","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","30-39","Tax","250","240","23590","20140"
"New entrant CS","2021","Declared non-disabled","30-39","Unknown","3340","3260","28370","27570"
"New entrant CS","2021","Declared non-disabled","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Commercial","50","50","42670","44000"
"New entrant CS","2021","Declared non-disabled","40-49","Communications","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Digital, Data and Technology","190","190","46680","45000"
"New entrant CS","2021","Declared non-disabled","40-49","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Finance","70","70","42060","38610"
"New entrant CS","2021","Declared non-disabled","40-49","Human Resources","80","70","40940","37410"
"New entrant CS","2021","Declared non-disabled","40-49","Inspector of Education and Training","40","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Legal","50","50","48620","50500"
"New entrant CS","2021","Declared non-disabled","40-49","Medicine","80","60","50400","38020"
"New entrant CS","2021","Declared non-disabled","40-49","Operational Delivery","1030","980","28400","24120"
"New entrant CS","2021","Declared non-disabled","40-49","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Other","230","220","30170","24890"
"New entrant CS","2021","Declared non-disabled","40-49","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Policy","120","110","47830","40050"
"New entrant CS","2021","Declared non-disabled","40-49","Project Delivery","140","140","41070","40000"
"New entrant CS","2021","Declared non-disabled","40-49","Property","60","60","35440","33000"
"New entrant CS","2021","Declared non-disabled","40-49","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Science and Engineering","150","130","38610","37320"
"New entrant CS","2021","Declared non-disabled","40-49","Security","80","80","26640","23540"
"New entrant CS","2021","Declared non-disabled","40-49","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","40-49","Tax","120","120","23490","20140"
"New entrant CS","2021","Declared non-disabled","40-49","Unknown","2600","2540","28790","27570"
"New entrant CS","2021","Declared non-disabled","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Commercial","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Digital, Data and Technology","110","110","46950","47550"
"New entrant CS","2021","Declared non-disabled","50-59","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Finance","50","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Human Resources","50","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Medicine","50","40","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Operational Delivery","890","820","28220","22850"
"New entrant CS","2021","Declared non-disabled","50-59","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Other","210","210","29400","25390"
"New entrant CS","2021","Declared non-disabled","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Policy","70","70","48290","43030"
"New entrant CS","2021","Declared non-disabled","50-59","Project Delivery","120","110","43920","40000"
"New entrant CS","2021","Declared non-disabled","50-59","Property","70","70","38810","33300"
"New entrant CS","2021","Declared non-disabled","50-59","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Science and Engineering","130","120","37350","37320"
"New entrant CS","2021","Declared non-disabled","50-59","Security","100","100","27260","20920"
"New entrant CS","2021","Declared non-disabled","50-59","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","50-59","Tax","100","90","22760","20140"
"New entrant CS","2021","Declared non-disabled","50-59","Unknown","2280","2240","27500","27570"
"New entrant CS","2021","Declared non-disabled","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Operational Delivery","180","150","26530","21460"
"New entrant CS","2021","Declared non-disabled","60-64","Other","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","60-64","Policy","[c]","[c]","[c]","[c]"
