"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office","Tax","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","310","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Internal Audit","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Operational Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Operational Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Other","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Statistics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Statistics","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Tax","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","Unknown","HM Revenue and Customs (excl. agencies)","1320","1280","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Knowledge and Information Management","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Operational Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Other","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Policy","HM Treasury (excl. agencies)","140","130","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Policy","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Commercial","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Digital, Data and Technology","Home Office","30","30","[c]","[c]"
"Leaver Dept.","2022","Home Office","Economics","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Human Resources","Home Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Home Office","Intelligence Analysis","Home Office","40","40","[c]","[c]"
"Leaver Dept.","2022","Home Office","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Operational Delivery","Home Office","720","690","27990","25040"
"Leaver Dept.","2022","Home Office","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Other","Home Office","110","110","38800","35070"
"Leaver Dept.","2022","Home Office","Policy","Home Office","250","240","47690","41970"
"Leaver Dept.","2022","Home Office","Project Delivery","Home Office","70","70","40660","37460"
"Leaver Dept.","2022","Home Office","Science and Engineering","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Security","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Social Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","Statistics","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Commercial","Defence Equipment and Support","80","80","34570","31420"
"Leaver Dept.","2022","Ministry of Defence","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Commercial","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Digital, Data and Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Digital, Data and Technology","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Digital, Data and Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Digital, Data and Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Finance","Ministry of Defence (excl. agencies)","70","70","44940","40580"
"Leaver Dept.","2022","Ministry of Defence","Finance","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Geography","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Geography","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Human Resources","Ministry of Defence (excl. agencies)","50","50","33920","30200"
"Leaver Dept.","2022","Ministry of Defence","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Intelligence Analysis","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Knowledge and Information Management","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Knowledge and Information Management","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Knowledge and Information Management","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Knowledge and Information Management","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Legal","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Operational Research","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Other","Defence Equipment and Support","90","90","31330","27140"
"Leaver Dept.","2022","Ministry of Defence","Other","Ministry of Defence (excl. agencies)","110","100","24290","21330"
"Leaver Dept.","2022","Ministry of Defence","Other","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Policy","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Policy","Ministry of Defence (excl. agencies)","60","60","45740","44500"
"Leaver Dept.","2022","Ministry of Defence","Project Delivery","Defence Equipment and Support","130","130","38870","37320"
"Leaver Dept.","2022","Ministry of Defence","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Project Delivery","Ministry of Defence (excl. agencies)","90","90","45990","40580"
"Leaver Dept.","2022","Ministry of Defence","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Property","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Science and Engineering","Defence Equipment and Support","70","70","30860","27540"
"Leaver Dept.","2022","Ministry of Defence","Science and Engineering","Defence Science and Technology Laboratory","30","30","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Science and Engineering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Science and Engineering","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Security","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Statistics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Intelligence Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Operational Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Operational Delivery","HM Courts and Tribunals Service","530","520","26510","22680"
"Leaver Dept.","2022","Ministry of Justice","Operational Delivery","HM Prison and Probation Service","390","380","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Operational Delivery","Legal Aid Agency","50","50","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Operational Delivery","Ministry of Justice (excl. agencies)","420","410","40970","36800"
"Leaver Dept.","2022","Ministry of Justice","Operational Delivery","Office of the Public Guardian","140","130","24200","21170"
"Leaver Dept.","2022","Ministry of Justice","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Psychology","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","Unknown","HM Prison and Probation Service","150","140","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Operational Delivery","National Crime Agency","60","60","41610","37560"
"Leaver Dept.","2022","National Crime Agency","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Northern Ireland Office","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Knowledge and Information Management","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Other","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Policy","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office for Standards in Education, Children's Services and Skills","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Other","Office of Gas and Electricity Markets","70","70","35030","26830"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Gas and Electricity Markets","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Qualifications and Examinations Regulation","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of Rail and Road","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Scotland","Operational Delivery","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Scotland","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","Other","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Office of the Secretary of State for Wales","Policy","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Digital, Data and Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Operational Delivery","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Operational Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Operational Delivery","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Policy","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Scottish Government","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The National Archives","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The National Archives","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The National Archives","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The National Archives","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","The National Archives","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","Policy","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Export Finance","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Digital, Data and Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Economics","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Geography","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Operational Delivery","UK Statistics Authority","80","70","29480","24950"
"Leaver Dept.","2022","UK Statistics Authority","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Policy","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Social Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","UK Statistics Authority","Statistics","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Water Services Regulation Authority","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Water Services Regulation Authority","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Water Services Regulation Authority","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Communications","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Digital, Data and Technology","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Welsh Government","Economics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
