"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","EO","No function","Cabinet Office","120","110","27480","27500"
"New entrant CS","2021","EO","No function","Department for Business, Energy and Industrial Strategy","310","310","25480","24250"
"New entrant CS","2021","EO","No function","Department for Digital, Culture, Media and Sport","50","40","[c]","[c]"
"New entrant CS","2021","EO","No function","Department for Education","110","110","26200","25000"
"New entrant CS","2021","EO","No function","Department for Environment, Food and Rural Affairs","320","320","25080","24920"
"New entrant CS","2021","EO","No function","Department for International Trade","50","50","[c]","[c]"
"New entrant CS","2021","EO","No function","Department for Transport","180","180","27260","26130"
"New entrant CS","2021","EO","No function","Department for Work and Pensions","70","70","26490","26370"
"New entrant CS","2021","EO","No function","Department of Health and Social Care","430","400","25560","26880"
"New entrant CS","2021","EO","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","HM Revenue and Customs","180","180","25900","25560"
"New entrant CS","2021","EO","No function","HM Treasury","60","60","25530","24300"
"New entrant CS","2021","EO","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","Ministry of Housing, Communities and Local Government","60","60","26760","27850"
"New entrant CS","2021","EO","No function","Ministry of Justice","370","370","24490","24620"
"New entrant CS","2021","EO","No function","National Crime Agency","610","610","30990","32260"
"New entrant CS","2021","EO","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","Office of Gas and Electricity Markets","110","110","24660","23450"
"New entrant CS","2021","EO","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","Scottish Government","50","50","25820","25410"
"New entrant CS","2021","EO","No function","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","United Kingdom Statistics Authority","70","70","23740","23050"
"New entrant CS","2021","EO","No function","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Ministry of Defence","310","310","22340","23000"
"New entrant CS","2021","EO","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","HM Revenue and Customs","70","70","25150","24500"
"New entrant CS","2021","EO","Property","Ministry of Defence","40","40","[c]","[c]"
"New entrant CS","2021","EO","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Security","Cabinet Office","40","40","[c]","[c]"
"New entrant CS","2021","EO","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Security","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Security","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Security","Ministry of Defence","50","50","[c]","[c]"
"New entrant CS","2021","EO","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Department for Education","40","40","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Department for Work and Pensions","10880","10630","28590","27570"
"New entrant CS","2021","EO","Unknown","Department of Health and Social Care","50","50","26980","27140"
"New entrant CS","2021","EO","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Home Office","860","850","26630","24880"
"New entrant CS","2021","EO","Unknown","Ministry of Defence","340","330","27860","26350"
"New entrant CS","2021","EO","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Scottish Government","250","240","26510","26160"
"New entrant CS","2021","EO","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Department of Health and Social Care","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Cabinet Office","60","60","79430","85000"
"New entrant CS","2021","G6/G7","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Cabinet Office","80","80","56670","54700"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","50","50","50990","49320"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","HM Revenue and Customs","50","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Ministry of Justice","110","110","61050","60000"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Digital, Data & Technology","United Kingdom Statistics Authority","30","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Attorney General's Departments","320","300","52390","50520"
"New entrant CS","2021","G6/G7","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Cabinet Office","70","70","57520","54700"
"New entrant CS","2021","G6/G7","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Department for Business, Energy and Industrial Strategy","90","90","57830","53380"
"New entrant CS","2021","G6/G7","No function","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Department for Education","60","60","53950","53420"
"New entrant CS","2021","G6/G7","No function","Department for Environment, Food and Rural Affairs","120","110","54280","52290"
"New entrant CS","2021","G6/G7","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Department for Transport","70","60","59860","54650"
"New entrant CS","2021","G6/G7","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Department of Health and Social Care","360","330","56390","53360"
"New entrant CS","2021","G6/G7","No function","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","HM Treasury","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Ministry of Housing, Communities and Local Government","60","50","52330","53130"
"New entrant CS","2021","G6/G7","No function","Ministry of Justice","40","30","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Office for Standards in Education","60","60","73280","75500"
"New entrant CS","2021","G6/G7","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Ministry of Defence","70","70","57640","55000"
"New entrant CS","2021","G6/G7","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
