"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Male","Communications","160","160","38390","34100"
"New entrant CS","2021","Communications","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Male","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Female","Digital, Data & Technology","570","560","38300","33900"
"New entrant CS","2021","Digital, Data and Technology","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Female","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Male","Digital, Data & Technology","990","990","40120","36670"
"New entrant CS","2021","Digital, Data and Technology","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Male","Unknown","130","130","50190","47620"
"New entrant CS","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Female","Analysis","120","120","30740","31800"
"New entrant CS","2021","Economics","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Female","No function","40","40","[c]","[c]"
"New entrant CS","2021","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Male","Analysis","180","180","32190","31800"
"New entrant CS","2021","Economics","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Male","No function","50","50","33100","31500"
"New entrant CS","2021","Economics","Male","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Economics","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Finance","350","340","34220","32340"
"New entrant CS","2021","Finance","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Finance","290","280","36210","32790"
"New entrant CS","2021","Finance","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Human Resources","470","450","32850","28970"
"New entrant CS","2021","Human Resources","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Human Resources","180","180","34130","28920"
"New entrant CS","2021","Human Resources","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Inspector of Education and Training","Female","No function","60","60","61110","67500"
"New entrant CS","2021","Inspector of Education and Training","Male","No function","30","30","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Female","Analysis","30","30","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Male","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Male","Unknown","50","50","28970","26670"
"New entrant CS","2021","Internal Audit","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","International Trade","Female","No function","80","80","32700","31800"
"New entrant CS","2021","International Trade","Male","No function","60","60","33960","31800"
"New entrant CS","2021","Knowledge and Information Management","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","No function","40","30","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Female","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2021","Legal","Female","Legal","540","520","42650","43920"
"New entrant CS","2021","Legal","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Male","Legal","320","320","43760","48080"
"New entrant CS","2021","Legal","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicine","Female","No function","60","50","70270","82100"
"New entrant CS","2021","Medicine","Female","Unknown","220","180","41120","35000"
"New entrant CS","2021","Medicine","Male","No function","40","30","[c]","[c]"
"New entrant CS","2021","Medicine","Male","Unknown","80","70","52500","38890"
"New entrant CS","2021","Operational Delivery","Female","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Female","Commercial","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Female","Communications","30","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Female","Debt","80","70","20670","20140"
"New entrant CS","2021","Operational Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Female","Grants Management","30","30","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Female","Human Resources","60","50","29440","26410"
"New entrant CS","2021","Operational Delivery","Female","Legal","340","330","22240","20550"
"New entrant CS","2021","Operational Delivery","Female","No function","7760","7360","24960","22850"
"New entrant CS","2021","Operational Delivery","Female","Project Delivery","80","80","34180","32870"
"New entrant CS","2021","Operational Delivery","Female","Property","100","100","22490","20880"
"New entrant CS","2021","Operational Delivery","Female","Unknown","600","580","24980","24880"
"New entrant CS","2021","Operational Delivery","Male","Analysis","50","50","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Commercial","40","40","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Debt","50","50","21190","20140"
"New entrant CS","2021","Operational Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Male","Legal","140","140","22810","20190"
"New entrant CS","2021","Operational Delivery","Male","No function","5610","5460","26190","22850"
"New entrant CS","2021","Operational Delivery","Male","Project Delivery","50","50","36530","35290"
"New entrant CS","2021","Operational Delivery","Male","Property","70","70","25710","20880"
"New entrant CS","2021","Operational Delivery","Male","Unknown","700","680","25380","24880"
"New entrant CS","2021","Operational Delivery","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Female","Analysis","30","30","[c]","[c]"
"New entrant CS","2021","Operational Research","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Male","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Operational Research","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Operational Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Legal","40","40","[c]","[c]"
"New entrant CS","2021","Other","Female","No function","200","190","29150","25610"
"New entrant CS","2021","Other","Female","Project Delivery","50","50","25860","20000"
"New entrant CS","2021","Other","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Female","Unknown","620","600","25990","20920"
"New entrant CS","2021","Other","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","No function","160","160","35410","26260"
"New entrant CS","2021","Other","Male","Project Delivery","100","100","28080","25000"
"New entrant CS","2021","Other","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other","Male","Unknown","530","520","27830","26350"
"New entrant CS","2021","Planning","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning Inspectors","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Planning Inspectors","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Female","No function","1630","1600","36350","32940"
"New entrant CS","2021","Policy","Female","Project Delivery","40","30","[c]","[c]"
"New entrant CS","2021","Policy","Female","Unknown","170","170","37270","35050"
"New entrant CS","2021","Policy","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Male","No function","1290","1280","38270","33570"
"New entrant CS","2021","Policy","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Policy","Male","Unknown","140","130","41950","37000"
"New entrant CS","2021","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Project Delivery","510","490","35490","33000"
"New entrant CS","2021","Project Delivery","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Project Delivery","520","520","38910","36800"
"New entrant CS","2021","Project Delivery","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Male","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Project Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","Property","160","160","29810","27880"
"New entrant CS","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Male","Property","290","290","34950","30000"
"New entrant CS","2021","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","Female","No function","110","110","26590","24620"
"New entrant CS","2021","Psychology","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Female","No function","550","480","32310","30460"
"New entrant CS","2021","Science and Engineering","Female","Project Delivery","40","30","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Male","No function","290","280","31350","28590"
"New entrant CS","2021","Science and Engineering","Male","Project Delivery","240","240","30930","27540"
"New entrant CS","2021","Science and Engineering","Male","Unknown","100","90","27340","25000"
"New entrant CS","2021","Security","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Female","Security","160","160","26110","23540"
"New entrant CS","2021","Security","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Male","Security","560","560","27270","23540"
"New entrant CS","2021","Security","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Female","Analysis","130","130","32520","32540"
"New entrant CS","2021","Social Research","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Male","Analysis","50","50","32650","32540"
"New entrant CS","2021","Social Research","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Female","Analysis","160","160","33660","31810"
"New entrant CS","2021","Statistics","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Male","Analysis","150","150","33080","31810"
"New entrant CS","2021","Statistics","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","Communications","290","290","26390","25560"
"New entrant CS","2021","Tax","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","Debt","430","410","20410","20140"
"New entrant CS","2021","Tax","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Female","No function","870","840","21580","20140"
"New entrant CS","2021","Tax","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","Communications","380","380","26360","25560"
"New entrant CS","2021","Tax","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","Debt","390","390","20500","20140"
"New entrant CS","2021","Tax","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Male","No function","820","800","22010","20140"
"New entrant CS","2021","Tax","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Commercial","110","110","69130","70000"
"New entrant CS","2021","Unknown","Female","Communications","60","60","33080","34550"
"New entrant CS","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Digital, Data & Technology","90","90","42350","38630"
"New entrant CS","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Human Resources","70","70","31590","27500"
"New entrant CS","2021","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","No function","700","690","30320","28000"
"New entrant CS","2021","Unknown","Female","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Security","60","60","25740","22380"
"New entrant CS","2021","Unknown","Female","Unknown","11280","10940","27440","27570"
"New entrant CS","2021","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Commercial","130","130","78670","72000"
"New entrant CS","2021","Unknown","Male","Communications","60","60","32780","27570"
"New entrant CS","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Digital, Data & Technology","100","100","47510","49700"
"New entrant CS","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Human Resources","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","No function","500","500","31880","28000"
"New entrant CS","2021","Unknown","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Property","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Security","70","70","27450","20920"
"New entrant CS","2021","Unknown","Male","Unknown","7940","7890","27440","27570"
"New entrant CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Male","No function","[c]","[c]","[c]","[c]"
