"Status","Year","Function_of_post","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","No function","Policy","G6/G7","650","470","56210","53600"
"Leaver Dept.","2022","No function","Policy","SCS","110","80","83270","75380"
"Leaver Dept.","2022","No function","Policy","SEO/HEO","970","770","35940","34110"
"Leaver Dept.","2022","No function","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Psychology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Science and Engineering","AA/AO","170","160","21540","21530"
"Leaver Dept.","2022","No function","Science and Engineering","EO","280","260","25610","25720"
"Leaver Dept.","2022","No function","Science and Engineering","G6/G7","560","530","57470","53500"
"Leaver Dept.","2022","No function","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Science and Engineering","SEO/HEO","1150","1050","36160","36330"
"Leaver Dept.","2022","No function","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Tax","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Unknown","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2022","No function","Unknown","EO","160","160","28260","27500"
"Leaver Dept.","2022","No function","Unknown","G6/G7","440","440","57850","54700"
"Leaver Dept.","2022","No function","Unknown","SCS","80","80","85390","76670"
"Leaver Dept.","2022","No function","Unknown","SEO/HEO","1060","1050","33920","32000"
"Leaver Dept.","2022","No function","Unknown","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2022","No function","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Commercial","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Economics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Other","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Other","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Policy","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Policy","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","EO","60","60","26470","26670"
"Leaver Dept.","2022","Project Delivery","Project Delivery","G6/G7","90","90","57510","56750"
"Leaver Dept.","2022","Project Delivery","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Project Delivery","SEO/HEO","230","220","36710","36740"
"Leaver Dept.","2022","Project Delivery","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Science and Engineering","EO","30","30","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Tax","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Other","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Other","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Property","SEO/HEO","50","40","[c]","[c]"
"Leaver Dept.","2022","Property","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Unknown","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Economics","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Economics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Medicine","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Delivery","AA/AO","160","150","22020","21680"
"Leaver Dept.","2022","Unknown","Operational Delivery","EO","420","410","25930","25040"
"Leaver Dept.","2022","Unknown","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Delivery","SEO/HEO","120","110","34930","33900"
"Leaver Dept.","2022","Unknown","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Research","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Other","AA/AO","80","80","21680","21170"
"Leaver Dept.","2022","Unknown","Other","EO","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Other","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Other","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Other","SEO/HEO","80","80","37240","36510"
"Leaver Dept.","2022","Unknown","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Policy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Policy","EO","50","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Policy","G6/G7","110","110","60330","57680"
"Leaver Dept.","2022","Unknown","Policy","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Policy","SEO/HEO","170","170","39390","40640"
"Leaver Dept.","2022","Unknown","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Social Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Statistics","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","AA/AO","630","580","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","EO","380","350","28000","27570"
"Leaver Dept.","2022","Unknown","Unknown","G6/G7","280","160","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","SCS","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","SEO/HEO","520","390","36960","36130"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","160","70","[c]","[c]"
"New entrant CS","2021","Analysis","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Economics","AA/AO","50","50","21370","19130"
"New entrant CS","2021","Analysis","Economics","EO","50","50","[c]","[c]"
"New entrant CS","2021","Analysis","Economics","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Economics","SEO/HEO","190","190","33300","33120"
"New entrant CS","2021","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Intelligence Analysis","G6/G7","50","50","[c]","[c]"
"New entrant CS","2021","Analysis","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Operational Delivery","SEO/HEO","50","50","32790","32540"
"New entrant CS","2021","Analysis","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Operational Research","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Operational Research","SEO/HEO","50","50","35090","34710"
"New entrant CS","2021","Analysis","Other","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Other","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Other","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Policy","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Policy","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Science and Engineering","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Social Research","SEO/HEO","170","170","33100","32540"
"New entrant CS","2021","Analysis","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Statistics","EO","80","80","26360","26780"
"New entrant CS","2021","Analysis","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Statistics","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Statistics","SEO/HEO","210","200","33950","32540"
"New entrant CS","2021","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","AA/AO","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","EO","80","70","25190","25720"
"New entrant CS","2021","Commercial","Commercial","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Commercial","SEO/HEO","190","180","36430","36500"
"New entrant CS","2021","Commercial","Commercial","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Operational Delivery","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","Other","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","G6/G7","60","60","78670","85000"
"New entrant CS","2021","Commercial","Unknown","SCS","150","150","80850","71000"
"New entrant CS","2021","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Communications","AA/AO","50","50","[c]","[c]"
"New entrant CS","2021","Communications","Communications","EO","120","110","26830","27270"
"New entrant CS","2021","Communications","Communications","G6/G7","70","70","58240","56150"
"New entrant CS","2021","Communications","Communications","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Communications","SEO/HEO","180","180","36510","35900"
"New entrant CS","2021","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Economics","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Operational Delivery","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Communications","Other","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Other","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Tax","EO","580","580","25540","25560"
"New entrant CS","2021","Communications","Tax","SEO/HEO","90","90","31740","31810"
"New entrant CS","2021","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Unknown","EO","50","50","[c]","[c]"
"New entrant CS","2021","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Unknown","SCS","[c]","[c]","[c]","[c]"
