"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","G6/G7","Legal","80","70","55080","55000"
"New entrant CS","2021","Unknown","G6/G7","Medicine","30","20","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Operational Delivery","70","70","55100","54800"
"New entrant CS","2021","Unknown","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Policy","240","240","56410","53380"
"New entrant CS","2021","Unknown","G6/G7","Project Delivery","60","60","57300","56300"
"New entrant CS","2021","Unknown","G6/G7","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Unknown","310","300","61720","56080"
"New entrant CS","2021","Unknown","SCS","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Policy","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS","Unknown","200","190","84510","72000"
"New entrant CS","2021","Unknown","SEO/HEO","Commercial","80","80","37070","37420"
"New entrant CS","2021","Unknown","SEO/HEO","Communications","60","60","36810","36660"
"New entrant CS","2021","Unknown","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Digital, Data and Technology","350","350","37060","36740"
"New entrant CS","2021","Unknown","SEO/HEO","Economics","100","90","34180","32790"
"New entrant CS","2021","Unknown","SEO/HEO","Finance","120","120","35860","33000"
"New entrant CS","2021","Unknown","SEO/HEO","Human Resources","60","60","34790","33060"
"New entrant CS","2021","Unknown","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Legal","80","80","30880","30850"
"New entrant CS","2021","Unknown","SEO/HEO","Medicine","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Operational Delivery","430","410","34250","32790"
"New entrant CS","2021","Unknown","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Other","120","120","35930","35050"
"New entrant CS","2021","Unknown","SEO/HEO","Policy","600","590","34800","33570"
"New entrant CS","2021","Unknown","SEO/HEO","Project Delivery","140","140","36080","35900"
"New entrant CS","2021","Unknown","SEO/HEO","Property","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Science and Engineering","60","60","34220","33000"
"New entrant CS","2021","Unknown","SEO/HEO","Security","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Social Research","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Statistics","50","50","33850","32540"
"New entrant CS","2021","Unknown","SEO/HEO","Tax","150","150","32910","31810"
"New entrant CS","2021","Unknown","SEO/HEO","Unknown","1040","1030","31400","28000"
"New entrant CS","2021","Unknown","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Operational Delivery","390","340","22450","22920"
"New entrant CS","2021","Unknown","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","330","330","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Commercial","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Counter Fraud","250","240","22680","21260"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Digital, Data and Technology","130","130","20530","21170"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Economics","50","50","21350","19860"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Finance","80","80","21170","21250"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Human Resources","160","150","21460","21170"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Operational Delivery","9720","9430","22160","21260"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Other","770","750","21150","21260"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Policy","90","90","21890","21300"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Project Delivery","50","50","21750","21260"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Property","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Science and Engineering","130","120","21360","21170"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Security","240","240","25070","24540"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Tax","400","380","21250","21250"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Unknown","920","900","21950","21250"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Commercial","160","150","25290","25520"
"New entrant CS","2022","Heterosexual / straight","EO","Communications","60","50","26850","27120"
"New entrant CS","2022","Heterosexual / straight","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Counter Fraud","290","280","27850","27570"
"New entrant CS","2022","Heterosexual / straight","EO","Digital, Data and Technology","320","320","26550","26350"
"New entrant CS","2022","Heterosexual / straight","EO","Economics","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Finance","210","200","25360","25540"
"New entrant CS","2022","Heterosexual / straight","EO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Human Resources","180","170","26100","26350"
"New entrant CS","2022","Heterosexual / straight","EO","Intelligence Analysis","60","60","27430","26590"
"New entrant CS","2022","Heterosexual / straight","EO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Knowledge and Information Management","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Legal","130","130","27670","27050"
"New entrant CS","2022","Heterosexual / straight","EO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Operational Delivery","4910","4780","27800","27570"
"New entrant CS","2022","Heterosexual / straight","EO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Other","490","480","25810","26350"
"New entrant CS","2022","Heterosexual / straight","EO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Policy","430","430","26390","26180"
"New entrant CS","2022","Heterosexual / straight","EO","Project Delivery","140","140","25410","25120"
"New entrant CS","2022","Heterosexual / straight","EO","Property","120","120","25720","25000"
"New entrant CS","2022","Heterosexual / straight","EO","Psychology","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Science and Engineering","210","200","26260","26370"
"New entrant CS","2022","Heterosexual / straight","EO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Statistics","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Tax","630","620","26970","26590"
"New entrant CS","2022","Heterosexual / straight","EO","Unknown","1010","980","27250","27230"
"New entrant CS","2022","Heterosexual / straight","EO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Commercial","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Communications","50","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Digital, Data and Technology","400","390","55590","54000"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Finance","100","100","55750","54590"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Human Resources","100","100","55060","54000"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Inspector of Education and Training","70","70","72150","70500"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Legal","320","300","53330","50500"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Medicine","50","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Operational Delivery","280","270","55790","52610"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Other","90","90","57400","54110"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Policy","430","420","54240","53130"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Project Delivery","140","140","55850","54110"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Property","90","90","55350","53420"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Science and Engineering","90","80","54930","52610"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Unknown","370","360","56520","54700"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Medicine","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Commercial","250","240","34960","34710"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Communications","170","160","35710","35050"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Digital, Data and Technology","750","740","36220","35900"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Economics","130","120","33960","33080"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Finance","330","330","36560","36500"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Human Resources","270","260","34550","33080"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Inspector of Education and Training","90","80","47360","46360"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Intelligence Analysis","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","International Trade","70","70","33580","31800"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Knowledge and Information Management","70","70","33750","32330"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Legal","220","220","38780","40000"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Medicine","60","60","37220","39030"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Operational Delivery","1350","1310","35870","33210"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Operational Research","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Other","300","290","34360","33400"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Policy","1500","1470","34500","33570"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Project Delivery","370","360","36090","36060"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Property","200","200","35230","33000"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Psychology","60","50","29520","27700"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Science and Engineering","530","500","35320","33000"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Security","70","70","35800","35310"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Social Research","170","170","33920","31210"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Statistics","130","120","34010","33080"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Tax","420","420","33900","33080"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Unknown","980","960","35530","34550"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Operational Delivery","4880","4550","28750","26310"
"New entrant CS","2022","Heterosexual / straight","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Science and Engineering","70","70","36770","33000"
"New entrant CS","2022","Heterosexual / straight","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Unknown","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Operational Delivery","1090","1070","22040","21260"
"New entrant CS","2022","LGBO","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Other","80","80","21250","21260"
"New entrant CS","2022","LGBO","AA/AO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","AA/AO","Tax","60","50","21250","21250"
"New entrant CS","2022","LGBO","AA/AO","Unknown","120","120","21740","21050"
"New entrant CS","2022","LGBO","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Operational Delivery","470","470","27480","27570"
"New entrant CS","2022","LGBO","EO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Other","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Policy","80","80","26850","27680"
"New entrant CS","2022","LGBO","EO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","EO","Tax","80","80","27060","26590"
"New entrant CS","2022","LGBO","EO","Unknown","150","150","27140","27230"
"New entrant CS","2022","LGBO","EO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Policy","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","G6/G7","Statistics","[c]","[c]","[c]","[c]"
