"Status","Year","Organisation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Food Standards Agency","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","SEO/HEO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","AA/AO","Unknown","50","50","21640","21710"
"New entrant CS","2021","Forestry and Land Scotland","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","AA/AO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","EO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","G6/G7","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","AA/AO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","AA/AO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","G6/G7","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","AA/AO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","AA/AO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","EO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","EO","Legal","30","30","[c]","[c]"
"New entrant CS","2021","Government Legal Department","EO","Other","50","50","26910","26950"
"New entrant CS","2021","Government Legal Department","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","G6/G7","Legal","100","90","54690","50500"
"New entrant CS","2021","Government Legal Department","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","SEO/HEO","Legal","60","60","43920","43920"
"New entrant CS","2021","Government Legal Department","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","EO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","EO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","G6/G7","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","G6/G7","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","G6/G7","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","AA/AO","Operational Delivery","40","30","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","AA/AO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","AA/AO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","EO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","EO","Science and Engineering","60","60","26370","26370"
"New entrant CS","2021","Health and Safety Executive","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","SEO/HEO","Operational Delivery","60","60","40320","36040"
"New entrant CS","2021","Health and Safety Executive","SEO/HEO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","AA/AO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","AA/AO","Operational Delivery","1650","1600","19670","18880"
"New entrant CS","2021","HM Courts and Tribunals Service","AA/AO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Operational Delivery","180","180","23690","22810"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","EO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","G6/G7","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SCS","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SCS","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Legal","130","130","27470","26550"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Operational Delivery","140","140","31390","30850"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","AA/AO","Operational Delivery","510","500","22530","22350"
"New entrant CS","2021","HM Land Registry","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","EO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","G6/G7","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","G6/G7","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","G6/G7","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SCS","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SCS","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SEO/HEO","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","AA/AO","Operational Delivery","3920","3870","23690","22850"
"New entrant CS","2021","HM Prison and Probation Service","AA/AO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","AA/AO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","EO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","EO","Operational Delivery","70","70","26050","24620"
"New entrant CS","2021","HM Prison and Probation Service","EO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","EO","Psychology","60","60","24940","24620"
"New entrant CS","2021","HM Prison and Probation Service","EO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Operational Delivery","60","50","34470","32410"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Psychology","50","40","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Security","40","40","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Operational Delivery","1430","1300","22910","22920"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Operational Delivery","340","340","20510","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Tax","2200","2140","20190","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","AA/AO","Unknown","340","320","20500","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Digital, Data and Technology","60","60","25700","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Legal","50","50","26080","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Tax","770","760","25620","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","EO","Unknown","90","80","25750","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Digital, Data and Technology","50","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SCS","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SCS","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Digital, Data and Technology","120","120","34680","31810"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Operational Delivery","60","60","32630","31810"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Statistics","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Tax","270","260","32650","31810"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","SEO/HEO","Unknown","60","60","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","330","320","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Policy","30","30","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","EO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","G6/G7","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","G6/G7","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","G6/G7","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SCS","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Policy","190","190","30890","28500"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","SEO/HEO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Operational Delivery","520","510","21640","21430"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Other","60","50","22930","22210"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
