"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Heterosexual / straight","Finance","20-29","260","250","30070","27570"
"New entrant CS","2022","Heterosexual / straight","Finance","30-39","200","190","36980","35310"
"New entrant CS","2022","Heterosexual / straight","Finance","40-49","140","130","37300","36180"
"New entrant CS","2022","Heterosexual / straight","Finance","50-59","110","100","41110","37190"
"New entrant CS","2022","Heterosexual / straight","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Finance","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Geography","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","20-29","240","230","27180","26750"
"New entrant CS","2022","Heterosexual / straight","Human Resources","30-39","190","180","33980","30950"
"New entrant CS","2022","Heterosexual / straight","Human Resources","40-49","160","150","37980","34000"
"New entrant CS","2022","Heterosexual / straight","Human Resources","50-59","100","100","38870","34260"
"New entrant CS","2022","Heterosexual / straight","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","40-49","60","60","59260","51360"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","50-59","60","60","60020","64520"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","20-29","50","50","28560","28700"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","20-29","60","60","30750","31800"
"New entrant CS","2022","Heterosexual / straight","International Trade","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","International Trade","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","20-29","60","50","29120","28040"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","30-39","50","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","40-49","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","20-29","230","230","34360","30450"
"New entrant CS","2022","Heterosexual / straight","Legal","30-39","240","230","46260","48080"
"New entrant CS","2022","Heterosexual / straight","Legal","40-49","160","150","50060","50500"
"New entrant CS","2022","Heterosexual / straight","Legal","50-59","50","50","52220","50500"
"New entrant CS","2022","Heterosexual / straight","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Medicine","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Medicine","30-39","70","60","49950","39030"
"New entrant CS","2022","Heterosexual / straight","Medicine","40-49","50","40","54950","42120"
"New entrant CS","2022","Heterosexual / straight","Medicine","50-59","30","20","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Medicine","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Medicine","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","16-19","310","300","21940","21260"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","20-29","7610","7490","24490","23170"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","30-39","4890","4690","26570","24880"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","40-49","3720","3560","28450","26400"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","50-59","3470","3290","28070","26310"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","60-64","900","810","27740","25790"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","65+","250","210","29710","27570"
"New entrant CS","2022","Heterosexual / straight","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Operational Research","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Other","16-19","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Other","20-29","610","600","24590","22000"
"New entrant CS","2022","Heterosexual / straight","Other","30-39","370","350","28860","25000"
"New entrant CS","2022","Heterosexual / straight","Other","40-49","320","310","32170","26350"
"New entrant CS","2022","Heterosexual / straight","Other","50-59","280","270","27830","22000"
"New entrant CS","2022","Heterosexual / straight","Other","60-64","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Other","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Policy","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Policy","20-29","1310","1300","32730","32560"
"New entrant CS","2022","Heterosexual / straight","Policy","30-39","620","600","39950","36510"
"New entrant CS","2022","Heterosexual / straight","Policy","40-49","320","310","42720","39600"
"New entrant CS","2022","Heterosexual / straight","Policy","50-59","190","180","41220","36740"
"New entrant CS","2022","Heterosexual / straight","Policy","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Policy","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Policy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","20-29","230","230","30080","28650"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","30-39","220","220","38480","37210"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","40-49","160","160","42360","39900"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","50-59","110","100","46670","41530"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","20-29","140","130","29400","26350"
"New entrant CS","2022","Heterosexual / straight","Property","30-39","90","90","36840","33000"
"New entrant CS","2022","Heterosexual / straight","Property","40-49","110","110","41070","38000"
"New entrant CS","2022","Heterosexual / straight","Property","50-59","90","80","39500","35900"
"New entrant CS","2022","Heterosexual / straight","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Psychology","20-29","80","80","26070","27070"
"New entrant CS","2022","Heterosexual / straight","Psychology","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Psychology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Psychology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","20-29","450","450","27930","27540"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","30-39","230","220","35790","33000"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","40-49","150","140","39650","39030"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","50-59","140","130","40420","40060"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","60-64","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","20-29","110","110","26160","25000"
"New entrant CS","2022","Heterosexual / straight","Security","30-39","90","90","30480","25540"
"New entrant CS","2022","Heterosexual / straight","Security","40-49","80","70","30290","25540"
"New entrant CS","2022","Heterosexual / straight","Security","50-59","70","70","30540","25540"
"New entrant CS","2022","Heterosexual / straight","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Social Research","20-29","120","120","32510","30710"
"New entrant CS","2022","Heterosexual / straight","Social Research","30-39","50","50","36810","36840"
"New entrant CS","2022","Heterosexual / straight","Social Research","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Social Research","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Social Research","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Social Research","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","20-29","160","160","30330","30710"
"New entrant CS","2022","Heterosexual / straight","Statistics","30-39","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Statistics","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Tax","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Tax","20-29","610","600","27280","26590"
"New entrant CS","2022","Heterosexual / straight","Tax","30-39","480","470","28100","26590"
"New entrant CS","2022","Heterosexual / straight","Tax","40-49","220","210","28070","26590"
"New entrant CS","2022","Heterosexual / straight","Tax","50-59","120","120","27840","26590"
"New entrant CS","2022","Heterosexual / straight","Tax","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Tax","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","16-19","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","20-29","1170","1150","28130","27230"
"New entrant CS","2022","Heterosexual / straight","Unknown","30-39","960","940","33220","30750"
"New entrant CS","2022","Heterosexual / straight","Unknown","40-49","640","620","36280","31540"
"New entrant CS","2022","Heterosexual / straight","Unknown","50-59","460","440","35520","27940"
"New entrant CS","2022","Heterosexual / straight","Unknown","60-64","70","60","33090","27940"
"New entrant CS","2022","Heterosexual / straight","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Veterinarian","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","20-29","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","20-29","90","90","31040","30330"
"New entrant CS","2022","LGBO","Digital, Data and Technology","30-39","50","50","38820","37150"
"New entrant CS","2022","LGBO","Digital, Data and Technology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Economics","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Geography","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Geography","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Geography","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Geography","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Geography","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","20-29","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Intelligence Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","International Trade","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Medicine","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Medicine","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Medicine","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Medicine","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Medicine","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Medicine","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Delivery","16-19","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Delivery","20-29","1120","1100","24220","23140"
"New entrant CS","2022","LGBO","Operational Delivery","30-39","530","530","26510","24800"
"New entrant CS","2022","LGBO","Operational Delivery","40-49","260","250","28760","26310"
"New entrant CS","2022","LGBO","Operational Delivery","50-59","160","160","29870","27060"
"New entrant CS","2022","LGBO","Operational Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Research","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Research","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Research","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Research","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Research","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Research","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Operational Research","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Other","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Other","20-29","100","100","23880","21260"
"New entrant CS","2022","LGBO","Other","30-39","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Other","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Other","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Other","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Other","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Policy","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Policy","20-29","260","250","33340","32560"
"New entrant CS","2022","LGBO","Policy","30-39","70","70","38060","35800"
"New entrant CS","2022","LGBO","Policy","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Policy","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Policy","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Policy","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Policy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","20-29","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","30-39","[c]","[c]","[c]","[c]"
