"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","No function","820","810","29500","28000"
"New entrant CS","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Security","70","70","24070","20800"
"New entrant CS","2021","Unknown","Unknown","Unknown","3180","3100","30280","27570"
"New entrant CS","2021","Veterinarian","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Commercial","40","40","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Commercial","290","280","32180","30420"
"New entrant CS","2022","Commercial","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Finance","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Commercial","310","240","34350","30510"
"New entrant CS","2022","Commercial","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Communications","240","240","37210","33120"
"New entrant CS","2022","Communications","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Communications","250","210","35200","32790"
"New entrant CS","2022","Communications","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Declared disabled","Counter Fraud","80","80","26340","25110"
"New entrant CS","2022","Counter Fraud","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Declared non-disabled","Counter Fraud","530","520","26230","27570"
"New entrant CS","2022","Counter Fraud","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","Counter Fraud","70","70","26330","27570"
"New entrant CS","2022","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Digital, Data & Technology","160","160","35860","33080"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Digital, Data & Technology","1390","1380","37700","34260"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Undeclared","Digital, Data & Technology","80","80","35930","33080"
"New entrant CS","2022","Digital, Data and Technology","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Digital, Data & Technology","830","790","37340","33600"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","Unknown","240","230","45440","41950"
"New entrant CS","2022","Economics","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared non-disabled","Analysis","180","180","35220","31800"
"New entrant CS","2022","Economics","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared non-disabled","No function","30","30","[c]","[c]"
"New entrant CS","2022","Economics","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","Analysis","90","80","32110","28160"
"New entrant CS","2022","Economics","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Finance","50","50","33450","29360"
"New entrant CS","2022","Finance","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Finance","450","440","34180","31990"
"New entrant CS","2022","Finance","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Declared non-disabled","Unknown","70","70","36970","33000"
"New entrant CS","2022","Finance","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Finance","460","390","34870","31990"
"New entrant CS","2022","Finance","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","Unknown","70","70","34370","33000"
"New entrant CS","2022","Geography","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Declared non-disabled","No function","30","30","[c]","[c]"
"New entrant CS","2022","Geography","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Unknown","No function","30","30","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Human Resources","80","80","32840","29740"
"New entrant CS","2022","Human Resources","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Human Resources","570","550","33400","30400"
"New entrant CS","2022","Human Resources","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Human Resources","370","340","33680","28970"
"New entrant CS","2022","Human Resources","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Declared non-disabled","No function","150","140","58650","51360"
"New entrant CS","2022","Inspector of Education and Training","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared non-disabled","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","Security","40","40","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared non-disabled","Internal Audit","40","40","[c]","[c]"
"New entrant CS","2022","Internal Audit","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Declared non-disabled","No function","90","90","36890","31800"
"New entrant CS","2022","International Trade","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Unknown","No function","100","100","37680","31800"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","No function","100","90","31560","28590"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Declared disabled","Legal","60","60","43920","43920"
"New entrant CS","2022","Legal","Declared disabled","No function","[c]","[c]","[c]","[c]"
