"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Corporate Finance","Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Human Resources","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Counter Fraud","20-29","240","230","25590","25110"
"New entrant CS","2022","Counter Fraud","Counter Fraud","30-39","200","190","26320","27570"
"New entrant CS","2022","Counter Fraud","Counter Fraud","40-49","140","130","26580","27570"
"New entrant CS","2022","Counter Fraud","Counter Fraud","50-59","110","110","26910","27570"
"New entrant CS","2022","Counter Fraud","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Communications","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Digital, Data & Technology","20-29","850","840","30800","30000"
"New entrant CS","2022","Digital, Data and Technology","Digital, Data & Technology","30-39","750","730","38650","36500"
"New entrant CS","2022","Digital, Data and Technology","Digital, Data & Technology","40-49","500","490","43120","40520"
"New entrant CS","2022","Digital, Data and Technology","Digital, Data & Technology","50-59","290","280","44000","40180"
"New entrant CS","2022","Digital, Data and Technology","Digital, Data & Technology","60-64","40","30","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Human Resources","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Legal","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","20-29","80","80","34290","30820"
"New entrant CS","2022","Digital, Data and Technology","Unknown","30-39","70","70","45220","41950"
"New entrant CS","2022","Digital, Data and Technology","Unknown","40-49","70","70","53620","54640"
"New entrant CS","2022","Digital, Data and Technology","Unknown","50-59","40","40","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Analysis","20-29","240","240","30250","30710"
"New entrant CS","2022","Economics","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","No function","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Economics","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Finance","Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Communications","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Finance","20-29","370","350","29570","27270"
"New entrant CS","2022","Finance","Finance","30-39","270","250","36380","35310"
"New entrant CS","2022","Finance","Finance","40-49","180","160","38870","36500"
"New entrant CS","2022","Finance","Finance","50-59","110","100","41230","39230"
"New entrant CS","2022","Finance","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Finance","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Grants Management","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Grants Management","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Human Resources","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Property","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","20-29","50","50","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","40-49","30","30","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","50-59","30","30","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","No function","20-29","50","50","[c]","[c]"
"New entrant CS","2022","Geography","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Communications","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Finance","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Human Resources","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Human Resources","20-29","400","380","27410","26350"
"New entrant CS","2022","Human Resources","Human Resources","30-39","260","240","35580","31920"
"New entrant CS","2022","Human Resources","Human Resources","40-49","210","200","38170","33970"
"New entrant CS","2022","Human Resources","Human Resources","50-59","140","130","39520","36060"
"New entrant CS","2022","Human Resources","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Human Resources","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Legal","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Legal","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Security","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","No function","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","No function","40-49","60","60","59480","51360"
"New entrant CS","2022","Inspector of Education and Training","No function","50-59","60","50","59760","51360"
"New entrant CS","2022","Inspector of Education and Training","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Counter Fraud","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Security","20-29","50","50","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Security","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Security","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Internal Audit","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","No function","20-29","120","120","31330","31800"
"New entrant CS","2022","International Trade","No function","30-39","40","40","[c]","[c]"
"New entrant CS","2022","International Trade","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Communications","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Communications","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Human Resources","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Legal","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Legal","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","No function","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","No function","20-29","50","40","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","No function","30-39","40","40","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Security","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Security","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Legal","20-29","250","250","35440","35850"
"New entrant CS","2022","Legal","Legal","30-39","270","270","47330","48990"
"New entrant CS","2022","Legal","Legal","40-49","160","150","51800","50500"
"New entrant CS","2022","Legal","Legal","50-59","50","50","[c]","[c]"
"New entrant CS","2022","Legal","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","No function","20-29","70","70","32340","30450"
"New entrant CS","2022","Legal","No function","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Legal","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Analysis","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","No function","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","No function","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","No function","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","No function","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","No function","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","30-39","100","80","44180","37280"
"New entrant CS","2022","Medicine","Unknown","40-49","70","60","47830","39030"
"New entrant CS","2022","Medicine","Unknown","50-59","40","30","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Analysis","20-29","60","60","27990","29060"
"New entrant CS","2022","Operational Delivery","Analysis","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Commercial","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Communications","20-29","210","210","26090","26590"
"New entrant CS","2022","Operational Delivery","Communications","30-39","150","150","28110","26590"
"New entrant CS","2022","Operational Delivery","Communications","40-49","60","60","26250","26590"
"New entrant CS","2022","Operational Delivery","Communications","50-59","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Counter Fraud","20-29","160","150","23950","21260"
"New entrant CS","2022","Operational Delivery","Counter Fraud","30-39","100","100","25470","26590"
"New entrant CS","2022","Operational Delivery","Counter Fraud","40-49","50","50","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Counter Fraud","50-59","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Debt","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Debt","20-29","250","250","21300","21250"
"New entrant CS","2022","Operational Delivery","Debt","30-39","150","140","21700","21250"
"New entrant CS","2022","Operational Delivery","Debt","40-49","60","60","21340","21250"
"New entrant CS","2022","Operational Delivery","Debt","50-59","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Debt","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Finance","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Grants Management","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Grants Management","20-29","210","210","21600","21300"
"New entrant CS","2022","Operational Delivery","Grants Management","30-39","120","110","21560","21300"
"New entrant CS","2022","Operational Delivery","Grants Management","40-49","90","80","21800","21300"
"New entrant CS","2022","Operational Delivery","Grants Management","50-59","70","70","21710","21300"
"New entrant CS","2022","Operational Delivery","Grants Management","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Grants Management","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Human Resources","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Human Resources","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Human Resources","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Human Resources","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Human Resources","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Legal","20-29","250","250","22240","22200"
"New entrant CS","2022","Operational Delivery","Legal","30-39","60","60","23090","22200"
