"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","EO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","No function","200","190","26050","25560"
"New entrant CS","2021","EO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared disabled","Unknown","1420","1370","28370","27570"
"New entrant CS","2021","EO","Declared non-disabled","Analysis","100","100","26860","27200"
"New entrant CS","2021","EO","Declared non-disabled","Commercial","50","50","26290","26350"
"New entrant CS","2021","EO","Declared non-disabled","Communications","260","250","25540","25560"
"New entrant CS","2021","EO","Declared non-disabled","Counter Fraud","50","50","26260","25560"
"New entrant CS","2021","EO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared non-disabled","Digital, Data & Technology","150","150","25840","25560"
"New entrant CS","2021","EO","Declared non-disabled","Finance","100","100","24840","25560"
"New entrant CS","2021","EO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared non-disabled","Human Resources","90","90","25620","26180"
"New entrant CS","2021","EO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Declared non-disabled","Legal","80","80","27460","26950"
"New entrant CS","2021","EO","Declared non-disabled","No function","1400","1360","25880","25750"
"New entrant CS","2021","EO","Declared non-disabled","Project Delivery","250","240","24680","26180"
"New entrant CS","2021","EO","Declared non-disabled","Property","100","100","25840","26350"
"New entrant CS","2021","EO","Declared non-disabled","Security","60","60","26990","24620"
"New entrant CS","2021","EO","Declared non-disabled","Unknown","8400","8220","28490","27570"
"New entrant CS","2021","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","No function","130","120","25770","26130"
"New entrant CS","2021","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Undeclared","Unknown","440","430","28560","27570"
"New entrant CS","2021","EO","Unknown","Analysis","70","70","25730","25560"
"New entrant CS","2021","EO","Unknown","Commercial","50","50","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Communications","480","470","25750","25560"
"New entrant CS","2021","EO","Unknown","Counter Fraud","50","40","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Digital, Data & Technology","210","210","26870","26870"
"New entrant CS","2021","EO","Unknown","Finance","70","60","24860","25000"
"New entrant CS","2021","EO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Human Resources","90","90","25820","26300"
"New entrant CS","2021","EO","Unknown","Legal","110","110","26500","26950"
"New entrant CS","2021","EO","Unknown","No function","1500","1480","27470","26410"
"New entrant CS","2021","EO","Unknown","Project Delivery","160","160","20980","21170"
"New entrant CS","2021","EO","Unknown","Property","60","60","25020","24500"
"New entrant CS","2021","EO","Unknown","Security","40","40","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Unknown","2260","2200","27820","27570"
"New entrant CS","2021","G6/G7","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","No function","60","60","55210","53380"
"New entrant CS","2021","G6/G7","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared disabled","Unknown","40","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Commercial","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Digital, Data & Technology","230","230","56850","54700"
"New entrant CS","2021","G6/G7","Declared non-disabled","Finance","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Human Resources","60","60","57720","55500"
"New entrant CS","2021","G6/G7","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Legal","140","130","55640","51320"
"New entrant CS","2021","G6/G7","Declared non-disabled","No function","610","590","57790","54110"
"New entrant CS","2021","G6/G7","Declared non-disabled","Project Delivery","160","160","56180","54500"
"New entrant CS","2021","G6/G7","Declared non-disabled","Property","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Declared non-disabled","Unknown","310","290","59720","57000"
"New entrant CS","2021","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","No function","90","90","57770","55530"
"New entrant CS","2021","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Analysis","70","70","57360","53360"
"New entrant CS","2021","G6/G7","Unknown","Commercial","70","70","75010","81700"
"New entrant CS","2021","G6/G7","Unknown","Communications","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Digital, Data & Technology","210","210","58080","55630"
"New entrant CS","2021","G6/G7","Unknown","Finance","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Legal","270","260","52700","50520"
"New entrant CS","2021","G6/G7","Unknown","No function","400","390","56120","53380"
"New entrant CS","2021","G6/G7","Unknown","Project Delivery","80","80","55560","53420"
"New entrant CS","2021","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Unknown","440","420","59360","57430"
"New entrant CS","2021","SCS","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","No function","100","80","93850","87700"
"New entrant CS","2021","SCS","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Commercial","160","160","81720","71000"
"New entrant CS","2021","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","No function","60","50","101480","89950"
"New entrant CS","2021","SCS","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Analysis","50","50","33010","32540"
"New entrant CS","2021","SEO/HEO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","No function","310","300","33630","32790"
"New entrant CS","2021","SEO/HEO","Declared disabled","Project Delivery","50","50","34620","33000"
"New entrant CS","2021","SEO/HEO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared disabled","Unknown","100","100","35180","35090"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Analysis","400","400","33790","32540"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Commercial","130","130","38340","37000"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Communications","180","170","34750","32560"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Digital, Data & Technology","370","370","36270","35900"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Finance","180","180","36750","36000"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Human Resources","180","170","34150","34000"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Legal","170","170","34700","33550"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","No function","2440","2310","34530","33570"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Project Delivery","610","610","35880","34710"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Property","180","170","34910","33300"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Security","50","50","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Declared non-disabled","Unknown","830","820","35620","35070"
"New entrant CS","2021","SEO/HEO","Undeclared","Analysis","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","No function","320","300","34090","33090"
"New entrant CS","2021","SEO/HEO","Undeclared","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Undeclared","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","Analysis","300","290","33510","32540"
"New entrant CS","2021","SEO/HEO","Unknown","Commercial","120","120","36090","36750"
"New entrant CS","2021","SEO/HEO","Unknown","Communications","180","170","34740","31810"
"New entrant CS","2021","SEO/HEO","Unknown","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","Digital, Data & Technology","420","420","36550","36500"
"New entrant CS","2021","SEO/HEO","Unknown","Finance","160","160","35340","32790"
"New entrant CS","2021","SEO/HEO","Unknown","Human Resources","100","100","34130","32790"
"New entrant CS","2021","SEO/HEO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","Legal","190","190","35040","38000"
"New entrant CS","2021","SEO/HEO","Unknown","No function","2020","1990","33040","32560"
"New entrant CS","2021","SEO/HEO","Unknown","Project Delivery","210","200","36790","37100"
"New entrant CS","2021","SEO/HEO","Unknown","Property","50","50","34890","33530"
"New entrant CS","2021","SEO/HEO","Unknown","Security","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Unknown","Unknown","880","860","36430","35310"
"New entrant CS","2021","Unknown","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","No function","130","120","23450","22920"
"New entrant CS","2021","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","No function","870","810","23070","22920"
"New entrant CS","2021","Unknown","Declared non-disabled","Project Delivery","110","110","39010","39000"
"New entrant CS","2021","Unknown","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","No function","410","360","22480","22920"
"New entrant CS","2021","Unknown","Unknown","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","330","330","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Counter Fraud","60","60","22160","21260"
"New entrant CS","2022","AA/AO","Declared disabled","Debt","70","70","21340","21260"
"New entrant CS","2022","AA/AO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Legal","30","30","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","No function","1080","1040","21850","21260"
"New entrant CS","2022","AA/AO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared disabled","Unknown","200","190","21720","21260"
"New entrant CS","2022","AA/AO","Declared non-disabled","Analysis","140","140","21740","21260"
"New entrant CS","2022","AA/AO","Declared non-disabled","Commercial","30","30","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared non-disabled","Communications","70","70","21350","21250"
"New entrant CS","2022","AA/AO","Declared non-disabled","Counter Fraud","370","350","22400","21260"
"New entrant CS","2022","AA/AO","Declared non-disabled","Debt","580","560","21290","21250"
"New entrant CS","2022","AA/AO","Declared non-disabled","Digital, Data & Technology","160","160","20400","20910"
"New entrant CS","2022","AA/AO","Declared non-disabled","Finance","90","90","21260","21250"
"New entrant CS","2022","AA/AO","Declared non-disabled","Grants Management","460","440","21220","21300"
"New entrant CS","2022","AA/AO","Declared non-disabled","Human Resources","180","170","21380","21170"
"New entrant CS","2022","AA/AO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Declared non-disabled","Legal","210","210","21210","21250"
"New entrant CS","2022","AA/AO","Declared non-disabled","No function","9410","9160","22190","21260"
"New entrant CS","2022","AA/AO","Declared non-disabled","Project Delivery","90","80","21060","21260"
"New entrant CS","2022","AA/AO","Declared non-disabled","Property","110","110","21490","21750"
"New entrant CS","2022","AA/AO","Declared non-disabled","Security","180","180","25310","24540"
"New entrant CS","2022","AA/AO","Declared non-disabled","Unknown","1230","1200","21720","21170"
"New entrant CS","2022","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","No function","380","360","21740","21260"
"New entrant CS","2022","AA/AO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Undeclared","Unknown","70","60","21430","21170"
"New entrant CS","2022","AA/AO","Unknown","Analysis","30","30","[c]","[c]"
"New entrant CS","2022","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Unknown","Communications","80","80","21680","21250"
"New entrant CS","2022","AA/AO","Unknown","Counter Fraud","90","80","21690","21250"
"New entrant CS","2022","AA/AO","Unknown","Debt","300","290","21250","21250"
"New entrant CS","2022","AA/AO","Unknown","Digital, Data & Technology","80","70","21130","21170"
"New entrant CS","2022","AA/AO","Unknown","Finance","60","60","21050","21250"
"New entrant CS","2022","AA/AO","Unknown","Human Resources","90","90","21450","21170"
"New entrant CS","2022","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Unknown","Legal","70","70","21780","22200"
"New entrant CS","2022","AA/AO","Unknown","No function","5630","5430","22200","21260"
"New entrant CS","2022","AA/AO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","AA/AO","Unknown","Property","180","180","21640","21750"
"New entrant CS","2022","AA/AO","Unknown","Security","280","280","24930","23540"
"New entrant CS","2022","AA/AO","Unknown","Unknown","1730","1670","21750","21260"
"New entrant CS","2022","EO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Counter Fraud","60","60","27590","27570"
"New entrant CS","2022","EO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Human Resources","30","30","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","No function","730","700","27630","27570"
"New entrant CS","2022","EO","Declared disabled","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Declared disabled","Unknown","160","150","27180","27230"
