"Status","Year","Function_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Debt","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","Unknown","AA/AO","640","620","20290","20140"
"New entrant CS","2021","Debt","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","White","AA/AO","230","230","20230","20140"
"New entrant CS","2021","Debt","White","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","White","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Asian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Asian","EO","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Asian","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Asian","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Asian","SEO/HEO","80","80","36200","36040"
"New entrant CS","2021","Digital, Data & Technology","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Black","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Black","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Black","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Black","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Black","SEO/HEO","40","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Chinese","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Mixed","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Mixed","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Undeclared","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Unknown","AA/AO","40","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Unknown","EO","140","130","26450","25560"
"New entrant CS","2021","Digital, Data & Technology","Unknown","G6/G7","160","160","58670","56200"
"New entrant CS","2021","Digital, Data & Technology","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Unknown","SEO/HEO","320","310","36380","36030"
"New entrant CS","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","White","AA/AO","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","White","EO","180","180","26100","26130"
"New entrant CS","2021","Digital, Data & Technology","White","G6/G7","230","220","56380","54700"
"New entrant CS","2021","Digital, Data & Technology","White","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","White","SEO/HEO","380","380","36520","36340"
"New entrant CS","2021","Digital, Data & Technology","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Asian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Asian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Asian","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Asian","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Asian","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Black","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Black","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Black","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Black","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Black","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chinese","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Mixed","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Mixed","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Undeclared","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","AA/AO","40","30","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","EO","40","40","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","SEO/HEO","140","130","35130","32790"
"New entrant CS","2021","Finance","White","AA/AO","50","50","20580","20860"
"New entrant CS","2021","Finance","White","EO","120","110","24500","25000"
"New entrant CS","2021","Finance","White","G6/G7","50","50","59190","59360"
"New entrant CS","2021","Finance","White","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","White","SEO/HEO","150","150","36440","36010"
"New entrant CS","2021","Finance","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Asian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Asian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Asian","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Black","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Black","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Black","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Mixed","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","White","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","White","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","White","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","White","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Asian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Asian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Asian","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Asian","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Black","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Black","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Black","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Black","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chinese","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Mixed","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Mixed","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Undeclared","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","AA/AO","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","EO","60","60","25430","26300"
"New entrant CS","2021","Human Resources","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Unknown","SEO/HEO","70","60","34220","32790"
"New entrant CS","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","White","AA/AO","150","140","20760","20920"
"New entrant CS","2021","Human Resources","White","EO","120","110","25710","26130"
"New entrant CS","2021","Human Resources","White","G6/G7","60","60","57880","55500"
"New entrant CS","2021","Human Resources","White","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","White","SEO/HEO","190","180","33620","32120"
"New entrant CS","2021","Human Resources","White","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Asian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Asian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Asian","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Asian","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Black","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Black","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Black","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Black","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Chinese","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Mixed","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Mixed","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Undeclared","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","White","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","White","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","White","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","White","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","White","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Asian","AA/AO","30","30","[c]","[c]"
"New entrant CS","2021","Legal","Asian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Asian","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Legal","Asian","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Asian","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Legal","Black","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Black","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Black","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Black","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Chinese","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Mixed","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Mixed","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Undeclared","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Unknown","AA/AO","140","140","20280","20120"
"New entrant CS","2021","Legal","Unknown","EO","50","50","[c]","[c]"
"New entrant CS","2021","Legal","Unknown","G6/G7","80","80","54890","55000"
"New entrant CS","2021","Legal","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Unknown","SEO/HEO","100","100","31770","30850"
"New entrant CS","2021","Legal","White","AA/AO","190","190","20400","20120"
"New entrant CS","2021","Legal","White","EO","120","120","27230","26950"
"New entrant CS","2021","Legal","White","G6/G7","260","250","53510","50520"
"New entrant CS","2021","Legal","White","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","White","SEO/HEO","210","200","36180","38000"
"New entrant CS","2021","No function","Asian","AA/AO","430","410","21540","20140"
"New entrant CS","2021","No function","Asian","EO","200","200","26550","26410"
"New entrant CS","2021","No function","Asian","G6/G7","60","60","57200","53420"
"New entrant CS","2021","No function","Asian","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Asian","SEO/HEO","300","290","34250","33090"
"New entrant CS","2021","No function","Asian","Unknown","50","40","[c]","[c]"
"New entrant CS","2021","No function","Black","AA/AO","250","250","23240","22680"
"New entrant CS","2021","No function","Black","EO","120","120","26390","26410"
"New entrant CS","2021","No function","Black","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","No function","Black","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Black","SEO/HEO","210","190","34640","33570"
"New entrant CS","2021","No function","Black","Unknown","100","100","24670","24020"
"New entrant CS","2021","No function","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Chinese","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Mixed","AA/AO","180","170","22570","22350"
"New entrant CS","2021","No function","Mixed","EO","90","90","27430","26880"
"New entrant CS","2021","No function","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Mixed","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Mixed","SEO/HEO","140","140","34270","33570"
"New entrant CS","2021","No function","Mixed","Unknown","50","40","[c]","[c]"
"New entrant CS","2021","No function","Other ethnicity","AA/AO","30","30","[c]","[c]"
"New entrant CS","2021","No function","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other ethnicity","SEO/HEO","40","30","[c]","[c]"
"New entrant CS","2021","No function","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Undeclared","AA/AO","130","130","20720","19630"
"New entrant CS","2021","No function","Undeclared","EO","80","80","26270","25840"
"New entrant CS","2021","No function","Undeclared","G6/G7","40","30","[c]","[c]"
"New entrant CS","2021","No function","Undeclared","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Undeclared","SEO/HEO","120","110","35000","33570"
"New entrant CS","2021","No function","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Unknown","AA/AO","4500","4350","21480","20600"
"New entrant CS","2021","No function","Unknown","EO","840","820","25690","25560"
"New entrant CS","2021","No function","Unknown","G6/G7","320","310","56150","53380"
"New entrant CS","2021","No function","Unknown","SCS","50","50","101200","89500"
"New entrant CS","2021","No function","Unknown","SEO/HEO","1560","1540","32110","30990"
"New entrant CS","2021","No function","Unknown","Unknown","390","340","22420","22920"
"New entrant CS","2021","No function","White","AA/AO","4550","4430","21730","20880"
"New entrant CS","2021","No function","White","EO","1860","1830","27030","26180"
"New entrant CS","2021","No function","White","G6/G7","680","650","57530","54000"
"New entrant CS","2021","No function","White","SCS","100","80","95710","89850"
"New entrant CS","2021","No function","White","SEO/HEO","2710","2580","34670","33570"
"New entrant CS","2021","No function","White","Unknown","820","760","22870","22920"
"New entrant CS","2021","Project Delivery","Asian","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Asian","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Asian","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Asian","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Asian","SEO/HEO","60","60","36660","36030"
"New entrant CS","2021","Project Delivery","Asian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Black","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Black","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Black","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Black","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Black","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Black","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chinese","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chinese","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chinese","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Mixed","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Mixed","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Mixed","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Undeclared","EO","[c]","[c]","[c]","[c]"
