"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Analysis","20-29","230","230","30650","29750"
"New entrant CS","2021","Unknown","Analysis","30-39","70","70","39710","37020"
"New entrant CS","2021","Unknown","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Analysis","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","20-29","80","70","33490","28970"
"New entrant CS","2021","Unknown","Commercial","30-39","90","90","59420","62110"
"New entrant CS","2021","Unknown","Commercial","40-49","110","110","69930","71130"
"New entrant CS","2021","Unknown","Commercial","50-59","80","80","82890","72000"
"New entrant CS","2021","Unknown","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Communications","20-29","340","340","27170","25560"
"New entrant CS","2021","Unknown","Communications","30-39","170","170","31210","25560"
"New entrant CS","2021","Unknown","Communications","40-49","110","100","34560","25560"
"New entrant CS","2021","Unknown","Communications","50-59","50","50","33130","25560"
"New entrant CS","2021","Unknown","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","20-29","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Debt","16-19","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Debt","20-29","330","320","20400","20140"
"New entrant CS","2021","Unknown","Debt","30-39","160","150","20480","20140"
"New entrant CS","2021","Unknown","Debt","40-49","90","90","20640","20140"
"New entrant CS","2021","Unknown","Debt","50-59","70","70","20620","20140"
"New entrant CS","2021","Unknown","Debt","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Debt","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","20-29","270","260","31150","30640"
"New entrant CS","2021","Unknown","Digital, Data & Technology","30-39","220","210","40510","37420"
"New entrant CS","2021","Unknown","Digital, Data & Technology","40-49","170","170","44030","40600"
"New entrant CS","2021","Unknown","Digital, Data & Technology","50-59","80","80","48370","46680"
"New entrant CS","2021","Unknown","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","20-29","110","110","29830","31810"
"New entrant CS","2021","Unknown","Finance","30-39","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","40-49","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","50-59","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Grants Management","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Grants Management","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Grants Management","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Grants Management","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Grants Management","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","20-29","90","90","25030","24090"
"New entrant CS","2021","Unknown","Human Resources","30-39","50","50","32740","31990"
"New entrant CS","2021","Unknown","Human Resources","40-49","50","40","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","20-29","150","150","27080","24590"
"New entrant CS","2021","Unknown","Legal","30-39","80","80","40670","38370"
"New entrant CS","2021","Unknown","Legal","40-49","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","No function","16-19","170","160","20750","20140"
"New entrant CS","2021","Unknown","No function","20-29","4170","4110","25110","22850"
"New entrant CS","2021","Unknown","No function","30-39","1630","1550","27540","22850"
"New entrant CS","2021","Unknown","No function","40-49","960","910","29540","22850"
"New entrant CS","2021","Unknown","No function","50-59","800","760","27530","22350"
"New entrant CS","2021","Unknown","No function","60-64","130","120","29160","20810"
"New entrant CS","2021","Unknown","No function","65+","40","30","[c]","[c]"
"New entrant CS","2021","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","16-19","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","20-29","160","160","26630","26130"
"New entrant CS","2021","Unknown","Project Delivery","30-39","110","100","40090","38630"
"New entrant CS","2021","Unknown","Project Delivery","40-49","70","60","42820","39530"
"New entrant CS","2021","Unknown","Project Delivery","50-59","50","50","45080","40720"
"New entrant CS","2021","Unknown","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","20-29","90","90","24270","24500"
"New entrant CS","2021","Unknown","Property","30-39","60","60","30560","27450"
"New entrant CS","2021","Unknown","Property","40-49","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Property","50-59","50","50","29540","24500"
"New entrant CS","2021","Unknown","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","20-29","120","120","23990","23540"
"New entrant CS","2021","Unknown","Security","30-39","70","70","26310","24620"
"New entrant CS","2021","Unknown","Security","40-49","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Security","50-59","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Security","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","16-19","60","60","21770","21430"
"New entrant CS","2021","Unknown","Unknown","20-29","1860","1830","27780","27570"
"New entrant CS","2021","Unknown","Unknown","30-39","1160","1120","32190","27570"
"New entrant CS","2021","Unknown","Unknown","40-49","840","810","33600","27570"
"New entrant CS","2021","Unknown","Unknown","50-59","700","680","33350","27570"
"New entrant CS","2021","Unknown","Unknown","60-64","130","130","31870","27570"
"New entrant CS","2021","Unknown","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Analysis","20-29","600","590","30720","30710"
"New entrant CS","2022","Heterosexual / straight","Analysis","30-39","180","170","38480","36000"
"New entrant CS","2022","Heterosexual / straight","Analysis","40-49","90","90","43110","38200"
"New entrant CS","2022","Heterosexual / straight","Analysis","50-59","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Analysis","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","20-29","190","190","29840","28310"
"New entrant CS","2022","Heterosexual / straight","Commercial","30-39","130","120","35190","34850"
"New entrant CS","2022","Heterosexual / straight","Commercial","40-49","100","90","37900","36050"
"New entrant CS","2022","Heterosexual / straight","Commercial","50-59","60","60","40700","38650"
"New entrant CS","2022","Heterosexual / straight","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Communications","20-29","340","340","28640","26590"
"New entrant CS","2022","Heterosexual / straight","Communications","30-39","220","220","31920","26590"
"New entrant CS","2022","Heterosexual / straight","Communications","40-49","100","100","36180","32320"
"New entrant CS","2022","Heterosexual / straight","Communications","50-59","80","70","34860","27730"
"New entrant CS","2022","Heterosexual / straight","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Communications","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","20-29","410","410","26250","26590"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","30-39","290","290","27240","26590"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","40-49","200","190","27770","27570"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","50-59","160","150","27270","26590"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Debt","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Debt","20-29","250","240","21490","21250"
"New entrant CS","2022","Heterosexual / straight","Debt","30-39","160","160","21540","21250"
"New entrant CS","2022","Heterosexual / straight","Debt","40-49","110","100","21950","21250"
"New entrant CS","2022","Heterosexual / straight","Debt","50-59","80","70","22070","21260"
"New entrant CS","2022","Heterosexual / straight","Debt","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Debt","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","20-29","570","570","30890","29180"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","30-39","530","520","39030","36740"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","40-49","400","390","43130","40550"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","50-59","230","230","43860","40520"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","60-64","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Finance","20-29","280","270","29710","27270"
"New entrant CS","2022","Heterosexual / straight","Finance","30-39","190","180","35100","32790"
"New entrant CS","2022","Heterosexual / straight","Finance","40-49","120","120","37190","36310"
"New entrant CS","2022","Heterosexual / straight","Finance","50-59","90","90","39010","36270"
"New entrant CS","2022","Heterosexual / straight","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Finance","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Grants Management","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Grants Management","20-29","60","60","22340","21300"
"New entrant CS","2022","Heterosexual / straight","Grants Management","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Grants Management","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Grants Management","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Grants Management","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Grants Management","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","20-29","310","300","26610","26590"
"New entrant CS","2022","Heterosexual / straight","Human Resources","30-39","230","220","33860","31060"
"New entrant CS","2022","Heterosexual / straight","Human Resources","40-49","190","180","36930","33000"
"New entrant CS","2022","Heterosexual / straight","Human Resources","50-59","130","130","37980","33460"
"New entrant CS","2022","Heterosexual / straight","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Human Resources","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","20-29","450","450","28440","26950"
"New entrant CS","2022","Heterosexual / straight","Legal","30-39","280","270","42510","43920"
"New entrant CS","2022","Heterosexual / straight","Legal","40-49","170","160","47740","50500"
"New entrant CS","2022","Heterosexual / straight","Legal","50-59","60","50","48920","48080"
"New entrant CS","2022","Heterosexual / straight","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","No function","16-19","310","300","22040","21260"
"New entrant CS","2022","Heterosexual / straight","No function","20-29","9450","9320","26110","24800"
"New entrant CS","2022","Heterosexual / straight","No function","30-39","5920","5700","29150","27570"
"New entrant CS","2022","Heterosexual / straight","No function","40-49","4280","4100","31030","27570"
"New entrant CS","2022","Heterosexual / straight","No function","50-59","3710","3530","29740","27570"
"New entrant CS","2022","Heterosexual / straight","No function","60-64","930","840","29100","26400"
"New entrant CS","2022","Heterosexual / straight","No function","65+","260","210","30710","27700"
"New entrant CS","2022","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","20-29","420","420","28580","27540"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","30-39","340","330","37530","36740"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","40-49","270","260","40500","38030"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","50-59","220","220","43160","40000"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","60-64","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","20-29","180","180","28540","26030"
"New entrant CS","2022","Heterosexual / straight","Property","30-39","130","130","34900","32590"
"New entrant CS","2022","Heterosexual / straight","Property","40-49","150","140","38640","33670"
"New entrant CS","2022","Heterosexual / straight","Property","50-59","110","100","37020","33000"
"New entrant CS","2022","Heterosexual / straight","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","20-29","150","150","26570","25070"
"New entrant CS","2022","Heterosexual / straight","Security","30-39","100","100","30690","26350"
"New entrant CS","2022","Heterosexual / straight","Security","40-49","90","90","32920","26350"
"New entrant CS","2022","Heterosexual / straight","Security","50-59","110","100","30900","26570"
"New entrant CS","2022","Heterosexual / straight","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","16-19","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","20-29","1150","1130","26930","25860"
"New entrant CS","2022","Heterosexual / straight","Unknown","30-39","1080","1050","31430","27570"
"New entrant CS","2022","Heterosexual / straight","Unknown","40-49","800","770","33810","28650"
"New entrant CS","2022","Heterosexual / straight","Unknown","50-59","670","640","33740","27570"
"New entrant CS","2022","Heterosexual / straight","Unknown","60-64","90","80","31450","26820"
"New entrant CS","2022","Heterosexual / straight","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","20-29","110","100","30030","30710"
"New entrant CS","2022","LGBO","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","20-29","60","60","29730","27270"
"New entrant CS","2022","LGBO","Communications","30-39","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","20-29","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","20-29","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","20-29","100","100","31050","30330"
"New entrant CS","2022","LGBO","Digital, Data & Technology","30-39","70","60","39710","37300"
"New entrant CS","2022","LGBO","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","20-29","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","20-29","60","50","26800","26130"
"New entrant CS","2022","LGBO","Human Resources","30-39","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","20-29","50","50","29050","25480"
"New entrant CS","2022","LGBO","Legal","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","16-19","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","No function","20-29","1500","1480","26240","24370"
"New entrant CS","2022","LGBO","No function","30-39","650","640","28790","27060"
"New entrant CS","2022","LGBO","No function","40-49","300","290","31870","27570"
"New entrant CS","2022","LGBO","No function","50-59","180","170","32290","27570"
"New entrant CS","2022","LGBO","No function","60-64","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","20-29","60","50","28310","27540"
"New entrant CS","2022","LGBO","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","20-29","220","220","27360","27230"
"New entrant CS","2022","LGBO","Unknown","30-39","120","120","32560","27750"
"New entrant CS","2022","LGBO","Unknown","40-49","60","60","34890","27940"
"New entrant CS","2022","LGBO","Unknown","50-59","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","20-29","80","70","30550","30710"
"New entrant CS","2022","Undeclared","Analysis","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","40-49","[c]","[c]","[c]","[c]"
