"Status","Year","Ethnicity","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","No function","60","60","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Female","Unknown","80","70","33560","29640"
"Leaver Dept.","2021","Undeclared","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","No function","100","90","37720","33930"
"Leaver Dept.","2021","Undeclared","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Male","Unknown","100","90","33600","28670"
"Leaver Dept.","2021","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Communications","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","No function","720","700","36340","32000"
"Leaver Dept.","2021","Unknown","Female","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Unknown","660","520","34260","30300"
"Leaver Dept.","2021","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","No function","610","600","37190","32240"
"Leaver Dept.","2021","Unknown","Male","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Unknown","610","500","38030","34000"
"Leaver Dept.","2021","White","Female","Analysis","90","80","40390","34690"
"Leaver Dept.","2021","White","Female","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","White","Female","Communications","60","60","41340","36520"
"Leaver Dept.","2021","White","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Digital, Data & Technology","50","50","45140","39200"
"Leaver Dept.","2021","White","Female","Finance","60","60","45680","45200"
"Leaver Dept.","2021","White","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Human Resources","200","190","37440","32510"
"Leaver Dept.","2021","White","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Legal","80","80","45050","41650"
"Leaver Dept.","2021","White","Female","No function","1080","1040","39250","33100"
"Leaver Dept.","2021","White","Female","Project Delivery","170","170","40960","33930"
"Leaver Dept.","2021","White","Female","Property","40","30","[c]","[c]"
"Leaver Dept.","2021","White","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Female","Unknown","1760","1590","34300","28670"
"Leaver Dept.","2021","White","Male","Analysis","80","80","42500","38860"
"Leaver Dept.","2021","White","Male","Commercial","40","40","[c]","[c]"
"Leaver Dept.","2021","White","Male","Communications","50","50","[c]","[c]"
"Leaver Dept.","2021","White","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Digital, Data & Technology","70","70","46560","42430"
"Leaver Dept.","2021","White","Male","Finance","60","60","45170","42140"
"Leaver Dept.","2021","White","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Human Resources","110","110","40000","34400"
"Leaver Dept.","2021","White","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","White","Male","No function","840","820","40700","34240"
"Leaver Dept.","2021","White","Male","Project Delivery","190","190","40580","36000"
"Leaver Dept.","2021","White","Male","Property","30","30","[c]","[c]"
"Leaver Dept.","2021","White","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Male","Unknown","1280","1190","35250","29860"
"Leaver Dept.","2021","White","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Finance","30","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","No function","1010","930","36860","31060"
"Leaver Dept.","2022","Asian","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Female","Unknown","180","160","32570","28830"
"Leaver Dept.","2022","Asian","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Digital, Data & Technology","60","60","42160","40290"
"Leaver Dept.","2022","Asian","Male","Finance","40","40","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","No function","620","590","35040","29850"
"Leaver Dept.","2022","Asian","Male","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Asian","Male","Unknown","180","170","33820","28850"
"Leaver Dept.","2022","Black","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","No function","610","570","35190","31060"
"Leaver Dept.","2022","Black","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Female","Unknown","90","80","35040","35070"
"Leaver Dept.","2022","Black","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","No function","240","230","38800","31060"
"Leaver Dept.","2022","Black","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Male","Unknown","50","50","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","No function","280","260","35830","31990"
"Leaver Dept.","2022","Mixed","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Female","Unknown","60","50","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","No function","140","140","40230","35520"
"Leaver Dept.","2022","Mixed","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Male","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","No function","80","80","39850","33610"
"Leaver Dept.","2022","Other ethnicity","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","No function","50","40","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Other ethnicity","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","No function","420","380","41480","36840"
"Leaver Dept.","2022","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Unknown","50","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Analysis","30","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","No function","300","280","43570","39610"
"Leaver Dept.","2022","Undeclared","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Analysis","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Commercial","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Communications","80","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Digital, Data & Technology","80","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Finance","80","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Human Resources","70","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","No function","1240","1000","35440","32000"
"Leaver Dept.","2022","Unknown","Female","Project Delivery","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Unknown","500","400","35640","30470"
"Leaver Dept.","2022","Unknown","Male","Analysis","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Commercial","80","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Communications","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Digital, Data & Technology","90","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Finance","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","No function","1010","850","37630","32000"
"Leaver Dept.","2022","Unknown","Male","Project Delivery","40","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Unknown","440","360","36010","32700"
"Leaver Dept.","2022","White","Female","Analysis","140","130","40260","36840"
"Leaver Dept.","2022","White","Female","Commercial","120","110","41470","38980"
"Leaver Dept.","2022","White","Female","Communications","140","130","42240","37880"
"Leaver Dept.","2022","White","Female","Counter Fraud","50","50","[c]","[c]"
"Leaver Dept.","2022","White","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","White","Female","Digital, Data & Technology","190","180","40730","36960"
"Leaver Dept.","2022","White","Female","Finance","160","140","40200","35320"
"Leaver Dept.","2022","White","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","White","Female","Human Resources","360","340","39130","33130"
"Leaver Dept.","2022","White","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","White","Female","Legal","70","70","47290","51250"
"Leaver Dept.","2022","White","Female","No function","5570","5120","38230","32330"
"Leaver Dept.","2022","White","Female","Project Delivery","230","230","39290","36110"
"Leaver Dept.","2022","White","Female","Property","60","50","33840","31250"
"Leaver Dept.","2022","White","Female","Security","50","50","[c]","[c]"
"Leaver Dept.","2022","White","Female","Unknown","1110","970","35570","28670"
"Leaver Dept.","2022","White","Male","Analysis","130","120","44920","39930"
"Leaver Dept.","2022","White","Male","Commercial","100","90","45530","40600"
"Leaver Dept.","2022","White","Male","Communications","100","100","45020","37780"
"Leaver Dept.","2022","White","Male","Counter Fraud","50","50","[c]","[c]"
"Leaver Dept.","2022","White","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","White","Male","Digital, Data & Technology","220","220","43520","38330"
"Leaver Dept.","2022","White","Male","Finance","140","130","44890","41230"
"Leaver Dept.","2022","White","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","White","Male","Human Resources","130","130","37800","32000"
"Leaver Dept.","2022","White","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","White","Male","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","White","Male","No function","3220","3090","41520","34550"
"Leaver Dept.","2022","White","Male","Project Delivery","260","260","39350","34750"
