"Status","Year","Function_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Human Resources","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Education","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Levelling Up, Housing and Communities","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Levelling Up, Housing and Communities","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Transport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Work and Pensions","EO","60","50","27980","27570"
"Leaver Dept.","2022","Human Resources","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department of Health and Social Care","EO","70","40","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department of Health and Social Care","G6/G7","60","50","58460","59140"
"Leaver Dept.","2022","Human Resources","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Department of Health and Social Care","SEO/HEO","80","80","35580","35530"
"Leaver Dept.","2022","Human Resources","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Scottish Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Internal Audit","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Attorney General's Departments","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2022","Legal","Attorney General's Departments","EO","50","50","[c]","[c]"
"Leaver Dept.","2022","Legal","Attorney General's Departments","G6/G7","80","80","59310","58680"
"Leaver Dept.","2022","Legal","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Legal","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Cabinet Office","EO","110","110","27650","27500"
"Leaver Dept.","2022","No function","Cabinet Office","G6/G7","330","330","58100","54700"
"Leaver Dept.","2022","No function","Cabinet Office","SCS","70","70","85630","75830"
"Leaver Dept.","2022","No function","Cabinet Office","SEO/HEO","830","830","33090","32000"
"Leaver Dept.","2022","No function","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Business, Energy and Industrial Strategy","AA/AO","50","40","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Business, Energy and Industrial Strategy","EO","90","90","25960","24570"
"Leaver Dept.","2022","No function","Department for Business, Energy and Industrial Strategy","G6/G7","190","180","56210","53600"
"Leaver Dept.","2022","No function","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Business, Energy and Industrial Strategy","SEO/HEO","260","250","36180","35020"
"Leaver Dept.","2022","No function","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Digital, Culture, Media and Sport","G6/G7","60","60","55630","53350"
"Leaver Dept.","2022","No function","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Digital, Culture, Media and Sport","SEO/HEO","80","70","34450","34020"
"Leaver Dept.","2022","No function","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Education","EO","40","40","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Education","G6/G7","80","80","56130","54180"
"Leaver Dept.","2022","No function","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Education","SEO/HEO","140","140","35760","36500"
"Leaver Dept.","2022","No function","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Environment, Food and Rural Affairs","EO","40","40","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Environment, Food and Rural Affairs","G6/G7","80","80","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Environment, Food and Rural Affairs","SEO/HEO","200","190","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for International Trade","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2022","No function","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for International Trade","SEO/HEO","80","80","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Levelling Up, Housing and Communities","EO","50","40","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Levelling Up, Housing and Communities","G6/G7","90","90","56370","53130"
"Leaver Dept.","2022","No function","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Levelling Up, Housing and Communities","SEO/HEO","120","120","35230","33210"
"Leaver Dept.","2022","No function","Department for Transport","AA/AO","110","100","21990","21840"
"Leaver Dept.","2022","No function","Department for Transport","EO","110","100","28220","27030"
"Leaver Dept.","2022","No function","Department for Transport","G6/G7","90","90","57160","54760"
"Leaver Dept.","2022","No function","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Transport","SEO/HEO","190","190","37750","35850"
"Leaver Dept.","2022","No function","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Work and Pensions","AA/AO","400","380","21320","21260"
"Leaver Dept.","2022","No function","Department for Work and Pensions","EO","1620","1580","28200","27570"
"Leaver Dept.","2022","No function","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Department for Work and Pensions","SEO/HEO","250","240","34340","31990"
"Leaver Dept.","2022","No function","Department of Health and Social Care","AA/AO","770","660","21360","20990"
"Leaver Dept.","2022","No function","Department of Health and Social Care","EO","870","730","25790","26880"
"Leaver Dept.","2022","No function","Department of Health and Social Care","G6/G7","1720","1440","58210","54230"
"Leaver Dept.","2022","No function","Department of Health and Social Care","SCS","400","300","108980","107490"
"Leaver Dept.","2022","No function","Department of Health and Social Care","SEO/HEO","2580","2180","35960","36330"
"Leaver Dept.","2022","No function","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Food Standards Agency","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2022","No function","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","HM Revenue and Customs","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","HM Treasury","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","No function","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","HM Treasury","SEO/HEO","70","70","[c]","[c]"
"Leaver Dept.","2022","No function","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Ministry of Defence","EO","30","30","[c]","[c]"
"Leaver Dept.","2022","No function","Ministry of Defence","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2022","No function","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Ministry of Defence","SEO/HEO","100","100","34520","34680"
"Leaver Dept.","2022","No function","Ministry of Justice","AA/AO","640","620","20830","20970"
"Leaver Dept.","2022","No function","Ministry of Justice","EO","280","270","25240","25120"
"Leaver Dept.","2022","No function","Ministry of Justice","G6/G7","120","120","57270","56000"
"Leaver Dept.","2022","No function","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Ministry of Justice","SEO/HEO","520","510","35870","35820"
"Leaver Dept.","2022","No function","Ministry of Justice","Unknown","140","130","[c]","[c]"
"Leaver Dept.","2022","No function","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office for Standards in Education, Children's Services and Skills","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Gas and Electricity Markets","EO","40","40","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Scotland","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Wales","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Scottish Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","The National Archives","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","UK Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","UK Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","No function","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Education","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
