"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","230","230","37210","33570"
"New entrant CS","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Policy","120","120","35370","34020"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Digital, Data and Technology","90","90","38410","36500"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Policy","80","80","33380","32870"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Property","50","50","[c]","[c]"
"New entrant CS","2022","Male","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","150","150","41410","38750"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","500","490","37700","32780"
"New entrant CS","2022","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","International Trade","90","90","37190","31800"
"New entrant CS","2022","Male","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","170","170","35090","33210"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Policy","80","80","43520","38650"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Transport (excl. agencies)","Unknown","120","120","44170","42470"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Counter Fraud","280","270","26100","27570"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","240","240","41450","39000"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Finance","50","50","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Operational Delivery","2850","2830","25270","27570"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Other","280","280","22920","21260"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Policy","40","40","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department for Work and Pensions (excl. agencies)","Unknown","530","530","27440","25110"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Commercial","60","30","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Communications","40","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","40","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Finance","50","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Human Resources","40","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Policy","40","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Disclosure Scotland","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Operational Delivery","260","250","20770","21840"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Operational Delivery","360","350","25930","26130"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Education and Skills Funding Agency","Finance","40","40","[c]","[c]"
"New entrant CS","2022","Male","Education and Skills Funding Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Education and Skills Funding Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Estyn","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Food Standards Scotland","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Male","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Actuary's Department","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Actuary's Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Actuary's Department","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Internal Audit Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Legal Department","Legal","60","60","45950","50500"
"New entrant CS","2022","Male","Government Legal Department","Other","30","30","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Operational Delivery","90","90","39390","31660"
"New entrant CS","2022","Male","Health and Safety Executive","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","Health and Safety Executive","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Digital, Data and Technology","50","50","37650","36050"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Legal","30","30","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Operational Delivery","550","540","22980","20970"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Crown Prosecution Service Inspectorate","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Land Registry","Digital, Data and Technology","50","50","31070","30600"
"New entrant CS","2022","Male","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Land Registry","Operational Delivery","120","120","25180","22600"
"New entrant CS","2022","Male","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Operational Delivery","5380","5170","27250","24800"
"New entrant CS","2022","Male","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Prison and Probation Service","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","200","200","36160","33080"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Finance","70","70","32410","33080"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Legal","70","70","34580","30750"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Operational Delivery","1430","1410","24060","21250"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Project Delivery","60","60","44210","40180"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Tax","1320","1300","27720","26590"
"New entrant CS","2022","Male","HM Revenue and Customs (excl. agencies)","Unknown","570","570","29760","26590"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Male","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
