"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","LGBO","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Crown Prosecution Service","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Animal and Plant Health Agency","50","40","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Crown Office and Procurator Fiscal Service","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","34870","33570"
"New entrant CS","2022","LGBO","No function","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","120","120","37430","33650"
"New entrant CS","2022","LGBO","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","32890","30190"
"New entrant CS","2022","LGBO","No function","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Department for Work and Pensions (excl. agencies)","560","550","24800","25110"
"New entrant CS","2022","LGBO","No function","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","HM Courts and Tribunals Service","90","90","22740","20970"
"New entrant CS","2022","LGBO","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","HM Prison and Probation Service","810","800","26680","24090"
"New entrant CS","2022","LGBO","No function","HM Revenue and Customs (excl. agencies)","250","240","26110","26590"
"New entrant CS","2022","LGBO","No function","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","UK Health Security Agency","120","110","31240","28590"
"New entrant CS","2022","LGBO","No function","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
