"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Policy","110","100","38850","34020"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Communications","50","50","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Finance","30","30","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Operational Delivery","90","90","32930","29360"
"New entrant CS","2021","Department for Education","Female","Policy","170","170","35160","32870"
"New entrant CS","2021","Department for Education","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Digital, Data and Technology","70","70","39250","36500"
"New entrant CS","2021","Department for Education","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Policy","110","110","38480","32940"
"New entrant CS","2021","Department for Education","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Digital, Data and Technology","60","60","36640","35900"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Operational Delivery","310","300","24350","23660"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Policy","330","320","36860","32560"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Science and Engineering","50","50","26760","24370"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Digital, Data and Technology","80","80","41630","38750"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Operational Delivery","170","170","24590","24020"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Policy","260","260","35940","32560"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Science and Engineering","40","40","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","International Trade","80","80","32740","31800"
"New entrant CS","2021","Department for International Trade","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Economics","30","30","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","International Trade","60","60","34010","31800"
"New entrant CS","2021","Department for International Trade","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Operational Delivery","270","240","21780","21590"
"New entrant CS","2021","Department for Transport","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Other","40","40","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Policy","80","70","34470","34710"
"New entrant CS","2021","Department for Transport","Female","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Female","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Digital, Data and Technology","110","110","37490","31380"
"New entrant CS","2021","Department for Transport","Male","Economics","30","30","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Operational Delivery","300","280","25980","26130"
"New entrant CS","2021","Department for Transport","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Policy","100","100","36430","34710"
"New entrant CS","2021","Department for Transport","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Female","Operational Delivery","70","60","32140","31660"
"New entrant CS","2021","Department for Work and Pensions","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Female","Science and Engineering","30","30","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Female","Unknown","9970","9680","26860","27570"
"New entrant CS","2021","Department for Work and Pensions","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Male","Operational Delivery","50","50","37760","31660"
"New entrant CS","2021","Department for Work and Pensions","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Work and Pensions","Male","Unknown","7010","6980","26700","27570"
"New entrant CS","2021","Department of Health and Social Care","Female","Commercial","50","50","44140","40650"
"New entrant CS","2021","Department of Health and Social Care","Female","Communications","40","40","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Finance","100","100","36640","32790"
"New entrant CS","2021","Department of Health and Social Care","Female","Human Resources","70","70","31780","27270"
"New entrant CS","2021","Department of Health and Social Care","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Medicine","60","40","70580","82100"
"New entrant CS","2021","Department of Health and Social Care","Female","Operational Delivery","940","810","31680","28590"
"New entrant CS","2021","Department of Health and Social Care","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Policy","370","360","37740","32790"
"New entrant CS","2021","Department of Health and Social Care","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Science and Engineering","410","350","33660","31370"
"New entrant CS","2021","Department of Health and Social Care","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Female","Unknown","70","70","38550","32790"
"New entrant CS","2021","Department of Health and Social Care","Male","Commercial","30","30","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Communications","40","30","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Finance","50","50","37220","32790"
"New entrant CS","2021","Department of Health and Social Care","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Medicine","30","20","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Operational Delivery","370","330","36110","30460"
"New entrant CS","2021","Department of Health and Social Care","Male","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Policy","230","230","42240","32790"
"New entrant CS","2021","Department of Health and Social Care","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Science and Engineering","130","120","33380","28730"
"New entrant CS","2021","Department of Health and Social Care","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Male","Unknown","50","50","45450","40450"
"New entrant CS","2021","Department of Health and Social Care","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department of Health and Social Care","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Male","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Female","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Male","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Foreign, Commonwealth and Development Office","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Foreign, Commonwealth and Development Office","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Foreign, Commonwealth and Development Office","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Foreign, Commonwealth and Development Office","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Digital, Data and Technology","40","30","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Operational Delivery","310","300","22830","22350"
"New entrant CS","2021","HM Land Registry","Female","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Digital, Data and Technology","70","70","32350","27130"
"New entrant CS","2021","HM Land Registry","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Operational Delivery","210","210","22800","22350"
"New entrant CS","2021","HM Land Registry","Male","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Digital, Data and Technology","80","80","37360","31810"
"New entrant CS","2021","HM Revenue and Customs","Female","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Legal","50","50","36090","25560"
"New entrant CS","2021","HM Revenue and Customs","Female","Operational Delivery","300","300","21920","20140"
"New entrant CS","2021","HM Revenue and Customs","Female","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Property","50","50","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Female","Tax","1620","1570","22330","20140"
"New entrant CS","2021","HM Revenue and Customs","Female","Unknown","470","460","28290","20140"
"New entrant CS","2021","HM Revenue and Customs","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Digital, Data and Technology","140","140","36820","31810"
"New entrant CS","2021","HM Revenue and Customs","Male","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs","Male","International Trade","[c]","[c]","[c]","[c]"
