"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Heterosexual / straight","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Department for Education","60","60","41490","36500"
"New entrant CS","2022","Heterosexual / straight","Property","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","HM Revenue and Customs","200","200","27620","25000"
"New entrant CS","2022","Heterosexual / straight","Property","Ministry of Defence","140","140","30640","33000"
"New entrant CS","2022","Heterosexual / straight","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Cabinet Office","90","90","32910","32000"
"New entrant CS","2022","Heterosexual / straight","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Ministry of Defence","300","300","26910","25000"
"New entrant CS","2022","Heterosexual / straight","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Security","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department for Work and Pensions","580","560","28460","27570"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Home Office","550","530","30120","24880"
"New entrant CS","2022","Heterosexual / straight","Unknown","Ministry of Defence","770","730","30010","26350"
"New entrant CS","2022","Heterosexual / straight","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Scottish Government","1620","1580","31520","27230"
"New entrant CS","2022","Heterosexual / straight","Unknown","Welsh Government","270","270","36000","31210"
"New entrant CS","2022","LGBO","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","UK Statistics Authority","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","HM Revenue and Customs","50","50","27940","26590"
"New entrant CS","2022","LGBO","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Department for Work and Pensions","50","50","25080","25110"
"New entrant CS","2022","LGBO","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","HM Revenue and Customs","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","HM Revenue and Customs","50","40","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Attorney General's Departments","60","60","28770","25480"
"New entrant CS","2022","LGBO","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Welsh Government","[c]","[c]","[c]","[c]"
