"Status","Year","Sexual_orientation","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Communications","60","60","47450","43360"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Digital, Data and Technology","80","80","43490","42680"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Economics","110","100","48250","54110"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Finance","140","140","49410","49240"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Human Resources","80","70","48890","47740"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Operational Delivery","50","50","40270","37660"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Other","260","250","44640","31860"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Policy","620","600","49290","52730"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Project Delivery","330","320","54620","54650"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Science and Engineering","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Security","110","110","47460","44480"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Social Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Statistics","80","80","46240","42890"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Unknown","130","130","56400","54440"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Unknown","58730","53040","27900","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Commercial","60","60","50140","40650"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Communications","80","70","42010","36070"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","70","70","44590","37500"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Economics","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Finance","140","130","42180","37890"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Human Resources","70","70","43380","40650"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","90","90","51590","53360"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Operational Delivery","70","70","53270","40050"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Policy","650","630","49020","49530"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Statistics","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Unknown","180","170","29580","24910"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Commercial","110","100","34050","31040"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Communications","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Digital, Data and Technology","480","470","40060","37650"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Finance","100","100","32640","30730"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Human Resources","140","130","32370","31380"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Medicine","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Operational Delivery","2610","2280","22220","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Other","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Policy","90","80","29260","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Project Delivery","70","60","39740","39040"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Property","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Security","70","70","31150","26640"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Communications","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Digital, Data and Technology","100","100","39010","35040"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Finance","50","50","37630","33770"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Human Resources","70","70","36270","33350"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Operational Delivery","2240","2110","28830","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Operational Research","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Policy","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Project Delivery","60","60","38270","39470"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Property","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Commercial","130","120","40750","36780"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Communications","60","60","43860","39840"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Digital, Data and Technology","180","170","37570","36500"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Finance","200","190","41030","37100"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Operational Delivery","490","470","40420","36960"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Policy","150","140","48890","40940"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Unknown","180","170","58600","66290"
"In post","2021","Heterosexual / straight","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Inspector of Education and Training","60","50","74440","74730"
"In post","2021","Heterosexual / straight","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Social Research","[c]","[c]","[c]","[c]"
