"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Asian","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Operational Delivery","100","90","26270","23930"
"New entrant CS","2022","Asian","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Operational Delivery","80","80","25940","22510"
"New entrant CS","2022","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Tax","50","50","[c]","[c]"
"New entrant CS","2022","Asian","Unknown","Unknown","60","60","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Digital, Data and Technology","130","120","36520","33700"
"New entrant CS","2022","Black","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Finance","40","40","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Human Resources","50","50","31060","28110"
"New entrant CS","2022","Black","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Legal","40","40","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Operational Delivery","1470","1420","28100","27570"
"New entrant CS","2022","Black","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Other","80","80","27360","25750"
"New entrant CS","2022","Black","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Policy","150","140","34720","32880"
"New entrant CS","2022","Black","Heterosexual / straight","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Science and Engineering","50","50","33850","32330"
"New entrant CS","2022","Black","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Heterosexual / straight","Tax","100","100","28120","26590"
"New entrant CS","2022","Black","Heterosexual / straight","Unknown","150","140","31980","29630"
"New entrant CS","2022","Black","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Operational Delivery","50","50","29870","30760"
"New entrant CS","2022","Black","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Human Resources","40","40","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Operational Delivery","680","660","27210","26130"
"New entrant CS","2022","Mixed","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Other","60","50","27540","25110"
"New entrant CS","2022","Mixed","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Policy","120","120","36510","33570"
"New entrant CS","2022","Mixed","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Tax","50","40","[c]","[c]"
"New entrant CS","2022","Mixed","Heterosexual / straight","Unknown","100","90","30920","27500"
"New entrant CS","2022","Mixed","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Operational Delivery","100","90","26500","24470"
"New entrant CS","2022","Mixed","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Operational Delivery","50","50","27210","25010"
"New entrant CS","2022","Mixed","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Operational Delivery","190","180","27820","27570"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Policy","30","30","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Geography","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other ethnicity","Undeclared","Statistics","[c]","[c]","[c]","[c]"
