"Status","Year","Sexual_orientation","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","LGBO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","No function","50","50","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared disabled","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","No function","170","170","38690","33230"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Declared non-disabled","Unknown","140","140","34400","29160"
"Leaver Dept.","2021","LGBO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","No function","40","30","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","No function","120","110","40520","33730"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Declared non-disabled","Unknown","160","150","37020","32020"
"Leaver Dept.","2021","Undeclared","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","No function","80","80","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","Unknown","60","60","33780","28030"
"Leaver Dept.","2021","Undeclared","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","130","110","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","No function","100","90","45460","39800"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","1160","980","30640","27570"
"Leaver Dept.","2021","Unknown","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Unknown","150","130","37690","34700"
"Leaver Dept.","2021","Unknown","Unknown","Analysis","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Commercial","50","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Communications","60","60","40580","38540"
"Leaver Dept.","2021","Unknown","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Digital, Data & Technology","50","50","45970","44050"
"Leaver Dept.","2021","Unknown","Unknown","Finance","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Grants Management","50","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Human Resources","70","70","41510","37570"
"Leaver Dept.","2021","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","No function","1300","1280","36340","32000"
"Leaver Dept.","2021","Unknown","Unknown","Project Delivery","80","80","43340","38600"
"Leaver Dept.","2021","Unknown","Unknown","Property","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","1220","950","35820","31990"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Finance","30","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Human Resources","60","60","41630","36330"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","No function","840","790","35150","30450"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Project Delivery","60","60","37070","34020"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared disabled","Unknown","110","110","35770","29970"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Analysis","210","200","44030","39980"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Commercial","160","150","43310","40470"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Communications","210","200","42030","37280"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Counter Fraud","80","70","32710","27570"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Debt","40","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Digital, Data & Technology","350","330","42410","38000"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Finance","270","260","41550","37040"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Human Resources","440","420","37450","32330"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Legal","100","90","44560","33340"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","No function","7530","7120","37510","31990"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Project Delivery","400","390","40070","36250"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Property","90","80","41810","36800"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Security","80","80","38700","34590"
"Leaver Dept.","2022","Heterosexual / straight","Declared non-disabled","Unknown","1220","1180","35410","28850"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","No function","260","250","32750","27970"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Commercial","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Communications","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Digital, Data & Technology","40","30","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Finance","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Human Resources","50","40","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","No function","800","680","44700","39960"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Heterosexual / straight","Unknown","Unknown","70","50","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","No function","180","170","32580","28590"
"Leaver Dept.","2022","LGBO","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Analysis","30","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","No function","600","570","37990","32610"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Declared non-disabled","Unknown","80","80","36730","32000"
"Leaver Dept.","2022","LGBO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","No function","30","30","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","No function","60","50","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","No function","110","100","34150","28890"
"Leaver Dept.","2022","Undeclared","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","No function","630","590","37990","32330"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Declared non-disabled","Unknown","100","90","37960","31950"
"Leaver Dept.","2022","Undeclared","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","No function","200","190","37900","34020"
"Leaver Dept.","2022","Undeclared","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Undeclared","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Analysis","120","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Commercial","130","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Communications","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Digital, Data & Technology","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Finance","130","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Human Resources","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","No function","630","250","48310","40790"
"Leaver Dept.","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Unknown","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
