"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Undeclared","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Operational Delivery","50","50","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Policy","30","30","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Commercial","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Communications","50","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Debt","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Debt","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","Digital, Data and Technology","120","110","41160","37990"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","Finance","50","50","43500","39420"
"Leaver Dept.","2022","Unknown","Finance","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","Human Resources","50","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Geography","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","International Trade","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Knowledge and Information Management","50","40","44280","44540"
"Leaver Dept.","2022","Unknown","No function","Medicine","80","70","112530","114000"
"Leaver Dept.","2022","Unknown","No function","Operational Delivery","1160","1100","35740","27920"
"Leaver Dept.","2022","Unknown","No function","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Other","60","60","36020","29120"
"Leaver Dept.","2022","Unknown","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Policy","220","220","45080","40220"
"Leaver Dept.","2022","Unknown","No function","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Science and Engineering","420","390","45390","41410"
"Leaver Dept.","2022","Unknown","No function","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Unknown","850","850","37690","32000"
"Leaver Dept.","2022","Unknown","No function","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Project Delivery","50","50","42770","40580"
"Leaver Dept.","2022","Unknown","Project Delivery","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Operational Delivery","70","70","28470","24890"
"Leaver Dept.","2022","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Other","60","60","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Planning","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Policy","60","60","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Unknown","1740","1390","38030","32240"
"New entrant CS","2021","Heterosexual / straight","Analysis","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Economics","170","170","32500","31800"
"New entrant CS","2021","Heterosexual / straight","Analysis","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Operational Research","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Social Research","130","120","32570","32540"
"New entrant CS","2021","Heterosexual / straight","Analysis","Statistics","200","190","34010","31810"
"New entrant CS","2021","Heterosexual / straight","Analysis","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Commercial","220","220","33620","32000"
"New entrant CS","2021","Heterosexual / straight","Commercial","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Knowledge and Information Management","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Operational Delivery","50","50","46490","44080"
"New entrant CS","2021","Heterosexual / straight","Commercial","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Communications","Communications","200","190","36220","32560"
"New entrant CS","2021","Heterosexual / straight","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Communications","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Communications","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Communications","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Communications","Tax","220","220","26410","25560"
"New entrant CS","2021","Heterosexual / straight","Communications","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Counter Fraud","40","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Debt","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Debt","Tax","200","190","20610","20140"
"New entrant CS","2021","Heterosexual / straight","Debt","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Digital, Data and Technology","780","770","40020","36590"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Unknown","90","90","46910","43060"
"New entrant CS","2021","Heterosexual / straight","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Finance","400","390","35580","32790"
"New entrant CS","2021","Heterosexual / straight","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Human Resources","440","420","33300","28980"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Operational Delivery","60","50","30130","26410"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Unknown","70","60","32110","27500"
"New entrant CS","2021","Heterosexual / straight","Internal Audit","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Internal Audit","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Legal","Legal","600","580","44110","48080"
"New entrant CS","2021","Heterosexual / straight","Legal","Operational Delivery","260","250","22290","20250"
"New entrant CS","2021","Heterosexual / straight","Legal","Other","50","50","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Legal","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Legal","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Economics","70","70","33590","31000"
"New entrant CS","2021","Heterosexual / straight","No function","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Inspector of Education and Training","80","80","64200","70500"
"New entrant CS","2021","Heterosexual / straight","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","International Trade","80","80","35320","31800"
"New entrant CS","2021","Heterosexual / straight","No function","Knowledge and Information Management","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Medicine","70","50","72470","82100"
"New entrant CS","2021","Heterosexual / straight","No function","Operational Delivery","7400","7090","26300","22920"
"New entrant CS","2021","Heterosexual / straight","No function","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Other","220","210","31480","25750"
"New entrant CS","2021","Heterosexual / straight","No function","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Policy","1520","1500","36810","33570"
"New entrant CS","2021","Heterosexual / straight","No function","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Psychology","60","60","26360","24620"
"New entrant CS","2021","Heterosexual / straight","No function","Science and Engineering","610","550","32350","30350"
"New entrant CS","2021","Heterosexual / straight","No function","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","No function","Tax","500","480","22390","20140"
"New entrant CS","2021","Heterosexual / straight","No function","Unknown","290","280","33570","27500"
"New entrant CS","2021","Heterosexual / straight","No function","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Commercial","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Operational Delivery","80","80","34930","32870"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Other","110","100","28470","25000"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Policy","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Project Delivery","710","690","37530","34710"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Science and Engineering","170","170","34520","32150"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Operational Delivery","80","80","24580","20880"
"New entrant CS","2021","Heterosexual / straight","Property","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Property","320","310","33530","30730"
"New entrant CS","2021","Heterosexual / straight","Property","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Security","Security","420","420","26150","23540"
"New entrant CS","2021","Heterosexual / straight","Security","Unknown","50","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Digital, Data and Technology","60","60","49750","46040"
"New entrant CS","2021","Heterosexual / straight","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Intelligence Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Medicine","190","160","42950","37890"
"New entrant CS","2021","Heterosexual / straight","Unknown","Operational Delivery","400","400","25520","24880"
"New entrant CS","2021","Heterosexual / straight","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Other","760","740","25570","20920"
"New entrant CS","2021","Heterosexual / straight","Unknown","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Policy","120","120","37280","35050"
"New entrant CS","2021","Heterosexual / straight","Unknown","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Science and Engineering","80","80","28570","26350"
"New entrant CS","2021","Heterosexual / straight","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Social Research","[c]","[c]","[c]","[c]"
