"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Communications","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","HM Revenue and Customs","130","130","31830","31810"
"New entrant CS","2021","Communications","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","EO","HM Revenue and Customs","80","80","26210","25560"
"New entrant CS","2021","Counter Fraud","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","HM Revenue and Customs","40","40","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","AA/AO","HM Revenue and Customs","940","920","20320","20140"
"New entrant CS","2021","Debt","EO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Business, Energy and Industrial Strategy","50","50","26240","25270"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Transport","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","HM Land Registry","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","HM Revenue and Customs","70","70","25680","25560"
"New entrant CS","2021","Digital, Data & Technology","EO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","National Crime Agency","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","EO","United Kingdom Statistics Authority","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Cabinet Office","80","80","56670","54700"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Environment, Food and Rural Affairs","50","50","50990","49320"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","HM Revenue and Customs","50","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Ministry of Justice","110","110","61050","60000"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","United Kingdom Statistics Authority","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Cabinet Office","70","70","36190","34550"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Department for Business, Energy and Industrial Strategy","70","70","37490","37420"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Department for Education","50","50","34940","36500"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Department for Environment, Food and Rural Affairs","70","70","33520","34230"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Department for Transport","70","70","37590","36040"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Department of Health and Social Care","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","HM Revenue and Customs","140","140","34640","31810"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Ministry of Defence","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Ministry of Justice","90","90","37450","36800"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","United Kingdom Statistics Authority","60","60","34500","36030"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","HM Revenue and Customs","30","20","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Department of Health and Social Care","30","30","[c]","[c]"
"New entrant CS","2021","Finance","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Ministry of Defence","90","80","23730","25000"
"New entrant CS","2021","Finance","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","EO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Department of Health and Social Care","120","120","34730","32790"
"New entrant CS","2021","Finance","SEO/HEO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Ministry of Defence","60","50","35510","35000"
"New entrant CS","2021","Finance","SEO/HEO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","AA/AO","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"New entrant CS","2021","Grants Management","EO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","G6/G7","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","SEO/HEO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
