"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared non-disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Submarine Delivery Agency","100","100","40470","38200"
"In post","2021","Commercial","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","UK Export Finance","190","180","54290","50430"
"In post","2021","Commercial","Declared non-disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","HM Prison and Probation Service","90","90","49860","48800"
"In post","2021","Commercial","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Ministry of Defence (excl. agencies)","120","110","35970","33300"
"In post","2021","Commercial","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Cabinet Office (excl. agencies)","1040","1020","69450","64500"
"In post","2021","Commercial","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Crown Commercial Service","260","250","32540","31400"
"In post","2021","Commercial","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Education (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Department of Health and Social Care (excl. agencies)","160","160","48010","40650"
"In post","2021","Commercial","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence (excl. agencies)","160","150","37020","34640"
"In post","2021","Commercial","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Scottish Prison Service","70","70","29880","25870"
"In post","2021","Commercial","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","HM Revenue and Customs (excl. agencies)","270","250","28750","25560"
"In post","2021","Communications","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
