"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","Other Cabinet Office Agencies","60","60","44300","39000"
"In post","2021","Finance","Finance","Scottish Government","140","130","33910","30080"
"In post","2021","Finance","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","United Kingdom Statistics Authority","60","60","37140","29840"
"In post","2021","Finance","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Department for Education","230","230","40890","37100"
"In post","2021","Finance","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Department for Transport","70","70","48110","48770"
"In post","2021","Finance","No function","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Ministry of Justice","50","50","29870","24440"
"In post","2021","Finance","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Foreign, Commonwealth and Development Office","50","50","43090","38600"
"In post","2021","Finance","Project Delivery","Ministry of Defence","320","310","42090","39860"
"In post","2021","Finance","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Home Office","280","270","45650","41970"
"In post","2021","Finance","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Welsh Government","330","310","41910","37410"
"In post","2021","Human Resources","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Attorney General's Departments","220","210","39830","33930"
"In post","2021","Human Resources","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Department for Business, Energy and Industrial Strategy","380","360","39780","36580"
"In post","2021","Human Resources","Human Resources","Department for Digital, Culture, Media and Sport","60","60","48880","37990"
"In post","2021","Human Resources","Human Resources","Department for Education","150","140","36260","30200"
"In post","2021","Human Resources","Human Resources","Department for Environment, Food and Rural Affairs","270","250","42740","38600"
"In post","2021","Human Resources","Human Resources","Department for International Trade","130","120","43310","38540"
"In post","2021","Human Resources","Human Resources","Department for Transport","390","370","36770","32810"
"In post","2021","Human Resources","Human Resources","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Department of Health and Social Care","290","280","42950","36820"
"In post","2021","Human Resources","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Foreign, Commonwealth and Development Office","250","240","44920","39580"
"In post","2021","Human Resources","Human Resources","HM Land Registry","90","80","40290","33840"
"In post","2021","Human Resources","Human Resources","HM Revenue and Customs","750","700","40920","38300"
"In post","2021","Human Resources","Human Resources","HM Treasury","90","90","44420","43630"
"In post","2021","Human Resources","Human Resources","Ministry of Defence","1970","1850","31800","26670"
"In post","2021","Human Resources","Human Resources","Ministry of Housing, Communities and Local Government","90","80","40860","36340"
"In post","2021","Human Resources","Human Resources","Ministry of Justice","870","840","42140","37990"
"In post","2021","Human Resources","Human Resources","National Crime Agency","190","180","40160","39240"
"In post","2021","Human Resources","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Office for Standards in Education","60","50","39210","32010"
"In post","2021","Human Resources","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Other Cabinet Office Agencies","50","40","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Scottish Government","210","200","34930","33650"
"In post","2021","Human Resources","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","United Kingdom Statistics Authority","160","150","37410","32430"
"In post","2021","Human Resources","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Home Office","570","540","42930","37450"
"In post","2021","Human Resources","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Welsh Government","200","180","35490","28850"
"In post","2021","Inspector of Education and Training","No function","ESTYN","60","60","74480","74730"
"In post","2021","Inspector of Education and Training","No function","Office for Standards in Education","800","780","65820","64500"
"In post","2021","Intelligence Analysis","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Department of Health and Social Care","230","230","53190","53360"
"In post","2021","Intelligence Analysis","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
